YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
1985,1,1,28.27,28.46,28.35,0.2371,0.0,0.0,0
1985,1,2,28.31,28.47,28.35,0.2352,0.0,0.0,0
1985,1,3,28.31,28.44,28.37,0.2355,0.0,0.0,0
1985,1,4,27.97,28.12,28.05,-0.0987,0.0,0.0,0
1985,1,5,28.29,28.79,28.7,0.4758,0.0,0.0,0
1985,1,6,28.28,28.85,28.65,0.4032,0.0,0.0,0
1985,1,7,28.02,28.61,28.43,0.1606,0.0,0.0,0
1985,1,8,28.02,28.55,28.38,0.0981,0.0,0.0,0
1985,1,9,28.88,29.2,29.07,0.7655,0.27,0.0,0
1985,1,10,29.27,29.7,29.58,1.2997,0.8,0.0,0
1985,1,11,28.78,29.11,29.0,0.6477,0.17,0.0,0
1985,1,12,28.66,29.05,28.97,0.5948,0.11,0.0,0
1985,1,13,28.86,29.34,29.26,0.8545,0.37,0.0,0
1985,1,14,28.74,29.33,29.24,0.8139,0.33,0.0,0
1985,1,15,28.19,28.69,28.64,0.2,0.0,0.0,0
1985,1,16,27.49,28.0,27.95,-0.5006,0.0,0.0,0
1985,1,17,27.68,28.11,28.07,-0.3813,0.0,0.0,0
1985,1,18,28.57,29.42,29.38,0.9281,0.47,0.0,0
1985,1,19,29.4,29.71,29.67,1.2174,0.77,0.0,0
1985,1,20,29.08,29.28,29.21,0.8319,0.39,0.0,0
1985,1,21,28.76,28.97,28.85,0.4242,0.05,0.0,0
1985,1,22,28.53,29.0,28.92,0.4577,0.01,0.0,0
1985,1,23,28.69,29.37,29.26,0.7974,0.35,0.0,0
1985,1,24,28.87,29.72,29.55,1.0913,0.66,0.0,0
1985,1,25,28.54,29.2,29.08,0.6135,0.17,0.0,0
1985,1,26,28.51,29.12,29.01,0.5465,0.1,0.0,0
1985,1,27,28.41,29.09,28.96,0.4961,0.05,0.0,0
1985,1,28,28.7,29.19,29.08,0.6158,0.17,0.0,0
1985,1,29,28.41,28.83,28.62,0.17,0.0,0.0,0
1985,1,30,28.21,28.56,28.4,-0.0497,0.0,0.0,0
1985,1,31,28.28,28.59,28.42,-0.0152,0.0,0.0,0
1985,2,1,27.77,28.16,28.03,-0.411,0.0,0.0,0
1985,2,2,27.72,28.11,27.99,-0.4516,0.0,0.0,0
1985,2,3,27.62,28.0,27.9,-0.5423,0.0,0.0,0
1985,2,4,27.75,28.06,28.0,-0.4529,0.0,0.0,0
1985,2,5,27.94,28.2,28.1,-0.3368,0.0,0.0,0
1985,2,6,28.01,28.35,28.31,-0.1542,0.0,0.0,0
1985,2,7,28.72,28.83,28.78,0.3706,0.0,0.0,0
1985,2,8,28.78,28.94,28.88,0.4781,0.09,0.0,0
1985,2,9,28.42,28.59,28.47,0.0574,0.0,0.0,0
1985,2,10,28.38,28.57,28.47,0.0381,0.0,0.0,0
1985,2,11,28.35,28.55,28.45,0.0329,0.0,0.0,0
1985,2,12,28.5,28.66,28.57,0.1487,0.0,0.0,0
1985,2,13,28.42,28.65,28.55,0.1106,0.0,0.0,0
1985,2,14,28.44,28.68,28.59,0.1406,0.0,0.0,0
1985,2,15,28.5,28.83,28.75,0.28,0.0,0.0,0
1985,2,16,28.52,28.86,28.78,0.2879,0.0,0.0,0
1985,2,17,28.52,28.76,28.7,0.2071,0.0,0.0,0
1985,2,18,28.53,28.75,28.62,0.1357,0.0,0.0,0
1985,2,19,28.53,28.74,28.61,0.1271,0.0,0.0,0
1985,2,20,28.57,28.79,28.69,0.1829,0.0,0.0,0
1985,2,21,28.61,28.83,28.72,0.2157,0.0,0.0,0
1985,2,22,28.61,28.83,28.74,0.225,0.0,0.0,0
1985,2,23,28.5,28.72,28.59,0.0643,0.0,0.0,0
1985,2,24,28.46,28.68,28.53,-0.0132,0.0,0.0,0
1985,2,25,27.89,28.15,28.02,-0.5407,0.0,0.0,0
1985,2,26,27.65,27.88,27.79,-0.7836,0.0,0.0,0
1985,2,27,27.97,28.17,28.05,-0.5129,0.0,0.0,0
1985,2,28,27.89,28.13,28.0,-0.5793,0.0,0.0,0
1985,3,1,27.75,28.03,27.95,-0.64,0.0,0.0,0
1985,3,2,28.01,28.4,28.3,-0.3061,0.0,0.0,0
1985,3,3,27.9,28.28,28.2,-0.4171,0.0,0.0,0
1985,3,4,27.94,28.26,28.21,-0.4243,0.0,0.0,0
1985,3,5,28.0,28.27,28.23,-0.4093,0.0,0.0,0
1985,3,6,28.08,28.33,28.29,-0.3604,0.0,0.0,0
1985,3,7,28.12,28.43,28.36,-0.2943,0.0,0.0,0
1985,3,8,28.86,29.07,29.02,0.355,0.24,0.0,0
1985,3,9,28.81,28.98,28.88,0.1943,0.11,0.0,0
1985,3,10,28.98,29.18,29.14,0.4518,0.37,0.0,0
1985,3,11,28.91,29.1,29.07,0.3729,0.29,0.0,0
1985,3,12,28.11,28.29,28.21,-0.5168,0.0,0.0,0
1985,3,13,27.55,27.86,27.75,-1.0057,0.0,0.0,0
1985,3,14,27.6,27.92,27.82,-0.9575,0.0,0.0,0
1985,3,15,27.52,27.85,27.76,-1.02,0.0,0.0,0
1985,3,16,27.94,28.32,28.22,-0.561,0.0,0.0,0
1985,3,17,28.14,28.49,28.38,-0.4013,0.0,0.0,0
1985,3,18,28.71,29.02,28.88,0.109,0.1,0.0,0
1985,3,19,28.87,29.08,28.99,0.2374,0.22,0.0,0
1985,3,20,28.78,29.0,28.91,0.1468,0.13,0.0,0
1985,3,21,28.73,28.91,28.89,0.1065,0.05,0.0,0
1985,3,22,28.62,28.94,28.84,0.081,0.05,0.0,0
1985,3,23,28.43,28.76,28.7,-0.0629,0.0,0.0,0
1985,3,24,28.44,28.7,28.66,-0.1045,0.0,0.0,0
1985,3,25,27.81,28.2,28.09,-0.6665,0.0,0.0,0
1985,3,26,27.98,28.4,28.23,-0.6155,0.0,0.0,0
1985,3,27,28.02,28.49,28.35,-0.4926,0.0,0.0,0
1985,3,28,28.25,28.75,28.64,-0.2119,0.0,0.0,0
1985,3,29,27.74,28.16,28.07,-0.7797,0.0,0.0,0
1985,3,30,27.68,28.04,27.9,-0.879,0.0,0.0,0
1985,3,31,27.76,28.17,28.06,-0.721,0.0,0.0,0
1985,4,1,27.71,28.19,28.03,-0.7529,0.0,0.0,0
1985,4,2,27.64,28.1,27.98,-0.8048,0.0,0.0,0
1985,4,3,27.69,28.08,27.99,-0.7968,0.0,0.0,0
1985,4,4,28.05,28.61,28.54,-0.2258,0.0,0.0,0
1985,4,5,28.95,29.25,29.18,0.4129,0.4,0.0,1
1985,4,6,29.31,29.56,29.48,0.7116,0.7,0.0,1
1985,4,7,29.27,29.46,29.41,0.6403,0.63,0.0,1
1985,4,8,29.06,29.34,29.29,0.519,0.51,0.0,1
1985,4,9,28.69,29.03,29.01,0.2277,0.22,0.0,1
1985,4,10,29.16,29.61,29.56,0.7865,0.78,0.0,1
1985,4,11,28.84,29.32,29.25,0.4626,0.46,0.0,1
1985,4,12,28.82,29.3,29.23,0.4329,0.43,0.0,1
1985,4,13,28.83,29.24,29.17,0.3719,0.37,0.0,1
1985,4,14,28.46,29.15,29.05,0.2319,0.23,0.0,1
1985,4,15,27.92,28.53,28.49,-0.37,0.0,0.0,1
1985,4,16,28.02,28.49,28.38,-0.391,0.0,0.0,1
1985,4,17,28.24,28.69,28.6,-0.202,0.0,0.0,1
1985,4,18,28.35,28.73,28.62,-0.142,0.0,0.0,1
1985,4,19,28.42,28.75,28.67,-0.0827,0.0,0.0,1
1985,4,20,28.27,28.55,28.44,-0.2867,0.0,0.0,1
1985,4,21,28.28,28.51,28.42,-0.306,0.0,0.0,0
1985,4,22,28.09,28.34,28.23,-0.4793,0.0,0.0,0
1985,4,23,27.63,27.88,27.78,-0.9407,0.0,0.0,0
