YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
1985,1,1,21.55,22.19,21.65,0.3213,0.0,0.0,0
1985,1,2,21.54,22.18,21.63,0.3255,0.0,0.0,0
1985,1,3,21.6,22.22,21.69,0.2897,0.0,0.0,0
1985,1,4,22.53,22.91,22.6,1.2639,0.0,0.0,0
1985,1,5,22.45,23.09,22.74,1.2513,0.0,0.0,0
1985,1,6,22.21,22.89,22.53,0.9039,0.0,0.0,0
1985,1,7,21.83,22.67,22.29,0.569,0.0,0.0,0
1985,1,8,21.47,22.48,22.32,0.2123,0.0,0.0,0
1985,1,9,21.58,22.59,22.47,0.32,0.0,0.0,0
1985,1,10,21.8,22.87,22.63,0.7039,0.0,0.0,0
1985,1,11,21.61,22.84,22.29,0.4958,0.0,0.0,0
1985,1,12,21.78,22.86,22.51,0.5303,0.0,0.0,0
1985,1,13,21.61,22.54,22.08,0.2123,0.0,0.0,0
1985,1,14,20.93,22.14,21.76,-0.56,0.0,0.0,0
1985,1,15,20.83,22.1,21.65,-0.7,0.0,0.0,0
1985,1,16,20.79,22.09,21.63,-0.7458,0.0,0.0,0
1985,1,17,20.93,22.3,21.75,-0.551,0.0,0.0,0
1985,1,18,21.03,22.39,21.72,-0.3494,0.0,0.0,0
1985,1,19,20.79,22.23,21.77,-0.4258,0.0,0.0,0
1985,1,20,20.73,22.11,21.67,-0.5439,0.0,0.0,0
1985,1,21,20.42,21.98,21.62,-0.6465,0.0,0.0,0
1985,1,22,20.7,21.93,21.32,-0.8006,0.0,0.0,0
1985,1,23,21.89,22.82,22.61,0.4081,0.0,0.0,0
1985,1,24,21.99,22.95,22.46,0.3606,0.0,0.0,0
1985,1,25,21.23,22.28,21.81,-0.3613,0.0,0.0,0
1985,1,26,21.17,22.15,21.6,-0.5339,0.0,0.0,0
1985,1,27,20.85,21.87,21.6,-0.7129,0.0,0.0,0
1985,1,28,20.92,21.76,21.62,-0.7406,0.0,0.0,0
1985,1,29,20.85,21.51,21.14,-1.0168,0.0,0.0,0
1985,1,30,20.76,21.5,21.14,-1.0423,0.0,0.0,0
1985,1,31,20.76,21.62,21.28,-1.0026,0.0,0.0,0
1985,2,1,21.46,22.49,21.75,-0.3142,0.0,0.0,0
1985,2,2,21.35,22.49,21.88,-0.2361,0.0,0.0,0
1985,2,3,21.48,22.6,22.31,-0.2848,0.0,0.0,0
1985,2,4,21.72,22.77,22.43,-0.169,0.0,0.0,0
1985,2,5,21.95,23.02,22.61,0.0645,0.0,0.0,0
1985,2,6,22.42,23.33,23.24,0.3223,0.0,0.0,0
1985,2,7,22.75,23.49,23.24,0.6194,0.0,0.0,0
1985,2,8,22.32,23.25,23.06,0.1784,0.0,0.0,0
1985,2,9,22.3,23.2,23.1,0.0748,0.0,0.0,0
1985,2,10,22.39,23.25,22.89,0.2823,0.0,0.0,0
1985,2,11,22.47,23.3,22.99,0.3745,0.0,0.0,0
1985,2,12,22.11,23.01,22.81,-0.0735,0.0,0.0,0
1985,2,13,23.04,24.3,23.93,1.1629,0.43,0.0,0
1985,2,14,23.32,24.51,24.23,1.4345,0.73,0.0,0
1985,2,15,22.86,23.86,23.76,0.93,0.21,0.0,0
1985,2,16,22.78,23.91,23.67,0.8354,0.17,0.0,0
1985,2,17,23.53,24.41,24.26,1.3914,0.76,0.0,0
1985,2,18,23.89,24.65,24.49,1.6193,1.03,0.0,0
1985,2,19,24.12,24.78,24.6,1.7371,1.18,0.0,0
1985,2,20,25.76,27.11,26.71,3.9668,3.4,0.0,0
1985,2,21,25.14,26.35,25.9,3.0621,2.52,0.0,0
1985,2,22,25.08,26.25,25.77,2.9075,2.39,0.0,0
1985,2,23,25.03,26.16,25.53,2.8171,2.31,0.0,0
1985,2,24,24.71,25.86,25.39,2.4382,1.97,0.0,0
1985,2,25,25.06,26.03,25.52,2.6736,2.23,0.0,0
1985,2,26,25.25,26.04,25.62,2.6889,2.27,0.0,0
1985,2,27,25.06,25.87,25.61,2.5043,2.11,0.0,0
1985,2,28,25.14,25.92,25.78,2.6496,2.28,0.0,0
1985,3,1,24.0,25.07,24.4,1.59,1.22,0.0,0
