YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
1985,1,1,23.38,26.34,26.14,0.6716,0.0,0.0,0
1985,1,2,23.33,26.27,26.15,0.5284,0.0,0.0,0
1985,1,3,23.47,26.45,26.13,0.7377,0.0,0.0,0
1985,1,4,24.34,26.9,24.43,1.0845,0.0,0.0,0
1985,1,5,23.9,26.79,24.14,0.6774,0.0,0.0,0
1985,1,6,23.82,26.78,24.14,0.6268,0.0,0.0,0
1985,1,7,23.73,26.77,26.35,0.6903,0.0,0.0,0
1985,1,8,23.74,26.78,24.05,0.5097,0.0,0.0,0
1985,1,9,23.91,27.07,24.48,0.4661,0.0,0.0,0
1985,1,10,24.2,27.39,24.59,0.8703,0.0,0.0,0
1985,1,11,24.04,27.24,24.61,0.5,0.0,0.0,0
1985,1,12,23.85,27.07,24.41,0.329,0.0,0.0,0
1985,1,13,23.13,26.74,23.98,-0.2119,0.0,0.0,0
1985,1,14,23.33,27.33,26.8,0.5229,0.0,0.0,0
1985,1,15,23.3,27.56,27.02,1.03,0.0,0.0,0
1985,1,16,23.24,27.35,26.73,0.4465,0.0,0.0,0
1985,1,17,23.3,27.23,26.65,0.011,0.0,0.0,0
1985,1,18,23.33,27.14,26.43,0.0165,0.0,0.0,0
1985,1,19,22.8,26.86,26.16,-0.5432,0.0,0.0,0
1985,1,20,22.26,26.44,25.88,-0.8358,0.0,0.0,0
1985,1,21,21.91,26.14,25.67,-1.059,0.0,0.0,0
1985,1,22,22.82,26.74,26.49,-0.2539,0.0,0.0,0
1985,1,23,23.21,26.77,24.1,-0.4265,0.0,0.0,0
1985,1,24,23.45,27.02,24.33,-0.2294,0.0,0.0,0
1985,1,25,22.94,26.53,23.85,-0.7548,0.0,0.0,0
1985,1,26,22.46,26.03,25.62,-1.1606,0.0,0.0,0
1985,1,27,21.83,25.48,22.62,-1.9713,0.0,0.0,0
1985,1,28,22.9,26.01,23.34,-1.209,0.0,0.0,0
1985,1,29,22.89,26.02,25.76,-1.2748,0.0,0.0,0
1985,1,30,22.94,26.09,23.39,-1.271,0.0,0.0,0
1985,1,31,22.92,26.23,23.58,-1.3139,0.0,0.0,0
1985,2,1,23.09,25.56,23.28,-1.0845,0.0,0.0,0
1985,2,2,23.34,27.06,26.26,-0.319,0.0,0.0,0
1985,2,3,23.28,27.06,25.96,0.0471,0.0,0.0,0
1985,2,4,23.37,27.21,26.58,-0.4726,0.0,0.0,0
1985,2,5,23.8,27.7,27.28,0.43,0.0,0.0,0
1985,2,6,24.46,28.13,27.61,0.5626,0.0,0.0,0
1985,2,7,24.62,28.27,27.68,0.9103,0.0,0.0,0
1985,2,8,24.85,28.32,27.9,0.7565,0.0,0.0,0
1985,2,9,24.96,28.18,27.9,0.9139,0.0,0.0,0
1985,2,10,25.05,28.17,27.66,0.72,0.0,0.0,0
1985,2,11,25.12,28.17,27.99,0.4719,0.0,0.0,0
1985,2,12,25.19,28.12,27.83,0.4084,0.0,0.0,0
1985,2,13,26.15,28.75,26.66,1.091,0.7,0.0,0
1985,2,14,26.63,29.41,26.93,1.7194,1.21,0.0,0
1985,2,15,26.2,29.2,27.58,2.0,0.97,0.0,0
1985,2,16,26.27,29.14,27.16,1.8921,0.98,0.0,0
1985,2,17,26.93,29.66,27.84,2.5557,1.7,0.0,0
1985,2,18,27.05,30.02,28.4,2.7218,1.84,0.0,0
1985,2,19,27.04,30.04,27.81,2.52,1.81,0.0,0
1985,2,20,28.84,30.79,29.16,3.7432,3.39,0.0,0
1985,2,21,28.85,31.37,29.37,4.0614,3.48,0.0,0
1985,2,22,28.75,31.05,28.9,3.6225,3.18,0.0,0
1985,2,23,28.42,30.77,28.62,3.1157,2.83,0.0,0
1985,2,24,28.02,30.26,28.42,2.6368,2.44,0.0,0
1985,2,25,28.27,30.0,28.41,2.8771,2.62,0.0,0
1985,2,26,28.32,29.85,28.43,2.8829,2.64,0.0,0
1985,2,27,28.23,29.88,28.29,2.7957,2.55,0.0,0
1985,2,28,28.05,29.85,28.18,2.5689,2.36,0.0,0
1985,3,1,27.79,30.28,28.93,2.97,2.32,0.0,0
1985,3,2,28.56,30.92,28.68,3.085,2.89,0.0,0
1985,3,3,28.51,30.86,28.73,3.0443,2.89,0.0,0
1985,3,4,28.22,30.57,28.56,2.8471,2.69,0.0,0
1985,3,5,28.04,30.43,28.43,2.7336,2.58,0.0,0
1985,3,6,27.38,30.14,27.65,2.1761,1.98,0.0,0
1985,3,7,27.27,30.11,27.99,2.1871,2.09,0.0,0
1985,3,8,26.98,30.01,27.56,2.055,1.92,0.0,0
1985,3,9,26.43,29.84,27.45,1.5321,1.47,0.0,0
1985,3,10,26.7,29.46,27.11,1.5582,1.46,0.0,0
1985,3,11,27.12,29.76,27.34,1.7686,1.69,0.0,0
1985,3,12,26.28,28.92,26.43,0.8989,0.84,0.0,0
1985,3,13,25.78,28.5,26.4,0.5329,0.46,0.0,0
1985,3,14,26.03,28.33,26.67,0.6904,0.68,0.0,0
1985,3,15,26.13,28.3,26.68,0.7,0.7,0.0,0
1985,3,16,25.91,28.11,26.19,0.4581,0.44,0.0,0
