YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
1985,1,1,29.15,30.22,29.95,0.4174,0.16,0.0,0
1985,1,2,29.15,30.29,30.06,0.4139,0.2,0.0,0
1985,1,3,29.2,30.35,29.87,0.5223,0.16,0.0,0
1985,1,4,29.25,30.41,29.93,0.4087,0.16,0.0,0
1985,1,5,29.16,30.37,29.92,0.3777,0.14,0.0,0
1985,1,6,29.54,30.29,29.89,0.9132,0.19,0.0,0
1985,1,7,29.51,30.32,30.1,0.5245,0.33,0.0,0
1985,1,8,29.48,30.37,30.05,0.5019,0.31,0.0,0
1985,1,9,29.38,30.54,30.23,0.701,0.19,0.0,0
1985,1,10,29.62,30.84,30.57,0.9523,0.51,0.0,0
1985,1,11,29.42,31.03,30.57,0.7803,0.48,0.0,0
1985,1,12,28.87,30.9,30.55,0.7219,0.39,0.0,0
1985,1,13,28.59,30.54,30.15,0.3306,0.0,0.0,0
1985,1,14,28.76,30.57,30.26,0.371,0.1,0.0,0
1985,1,15,29.02,30.59,29.89,0.22,0.15,0.0,0
1985,1,16,29.02,30.5,30.18,0.2694,0.07,0.0,0
1985,1,17,29.05,30.5,30.19,0.3484,0.07,0.0,0
1985,1,18,29.02,30.75,30.52,0.2916,0.11,0.0,0
1985,1,19,28.67,30.66,29.97,0.1126,0.0,0.0,0
1985,1,20,28.77,30.48,29.86,0.0377,0.0,0.0,0
1985,1,21,28.66,30.47,29.68,-0.0745,0.0,0.0,0
1985,1,22,28.53,30.51,29.6,0.0335,0.0,0.0,0
1985,1,23,28.52,31.02,30.05,0.3084,0.0,0.0,0
1985,1,24,28.68,30.97,30.04,0.2748,0.0,0.0,0
1985,1,25,28.8,30.59,30.11,0.2565,0.0,0.0,0
1985,1,26,28.64,30.18,30.04,0.0065,0.0,0.0,0
1985,1,27,28.56,30.07,29.92,0.0323,0.0,0.0,0
1985,1,28,28.35,29.94,29.66,-0.0661,0.0,0.0,0
1985,1,29,27.91,29.85,29.74,-0.1061,0.0,0.0,0
1985,1,30,27.7,29.75,29.66,-0.1687,0.0,0.0,0
1985,1,31,27.6,30.2,29.93,0.3916,0.18,0.0,0
1985,2,1,27.67,30.31,30.17,0.3371,0.27,0.0,0
1985,2,2,27.73,30.35,30.21,0.4135,0.28,0.0,0
1985,2,3,28.04,30.5,30.15,0.3848,0.25,0.0,0
1985,2,4,28.06,30.51,30.03,0.2648,0.11,0.0,0
1985,2,5,28.78,30.47,30.06,0.3265,0.13,0.0,0
1985,2,6,29.22,30.58,30.33,0.5358,0.33,0.0,0
1985,2,7,29.4,30.84,30.09,0.6206,0.38,0.0,0
1985,2,8,29.08,31.08,30.17,0.7471,0.46,0.0,0
1985,2,9,28.3,30.95,30.39,0.5655,0.38,0.0,0
1985,2,10,28.22,30.86,30.06,0.6494,0.35,0.0,0
1985,2,11,28.17,30.79,30.04,0.6355,0.33,0.0,0
1985,2,12,28.31,30.78,30.11,0.6987,0.4,0.0,0
1985,2,13,28.94,31.18,30.2,0.7623,0.48,0.0,0
1985,2,14,29.21,31.03,30.42,0.9787,0.72,0.0,0
1985,2,15,29.21,31.18,30.64,1.03,0.82,0.0,0
1985,2,16,29.3,31.21,30.47,1.0182,0.74,0.0,0
1985,2,17,29.31,31.2,30.98,0.8407,0.59,0.0,0
1985,2,18,29.67,31.2,30.96,0.8089,0.55,0.0,0
1985,2,19,29.9,31.22,30.77,0.7129,0.61,0.0,0
1985,2,20,29.85,31.27,30.81,0.8332,0.71,0.0,0
1985,2,21,29.69,31.25,31.17,0.9421,0.73,0.0,0
1985,2,22,28.88,30.62,30.53,0.4025,0.27,0.0,0
1985,2,23,28.5,30.38,30.31,0.1586,0.02,0.0,0
1985,2,24,28.64,30.28,29.91,0.0018,0.0,0.0,0
1985,2,25,28.69,30.26,30.2,-0.0043,0.0,0.0,0
1985,2,26,28.57,30.22,30.01,-0.1279,0.0,0.0,0
1985,2,27,28.26,29.86,29.54,-0.5057,0.0,0.0,0
1985,2,28,28.43,30.18,30.06,0.0225,0.0,0.0,0
1985,3,1,28.35,30.12,30.03,-0.1,0.0,0.0,0
1985,3,2,28.19,30.32,29.69,0.0204,0.0,0.0,0
1985,3,3,28.4,30.25,29.86,-0.0329,0.0,0.0,0
1985,3,4,28.54,30.06,29.74,-0.0696,0.0,0.0,0
1985,3,5,28.38,29.87,29.51,-0.21,0.0,0.0,0
1985,3,6,28.71,30.09,29.96,-0.0164,0.0,0.0,0
1985,3,7,29.28,30.75,30.56,0.5271,0.37,0.0,0
1985,3,8,29.06,30.71,30.47,0.4,0.25,0.0,0
1985,3,9,29.22,30.71,30.49,0.3657,0.34,0.0,0
1985,3,10,29.52,30.82,30.76,0.67,0.53,0.0,0
1985,3,11,29.76,31.17,30.98,0.88,0.72,0.0,0
1985,3,12,29.58,30.89,30.75,0.7289,0.57,0.0,0
1985,3,13,29.63,30.88,30.83,0.7093,0.57,0.0,0
1985,3,14,29.18,31.07,30.72,0.5643,0.56,0.0,0
1985,3,15,29.47,31.2,30.89,0.83,0.65,0.0,0
1985,3,16,29.13,30.97,30.67,0.4239,0.42,0.0,0
1985,3,17,28.37,30.44,29.76,0.0623,0.0,0.0,0
1985,3,18,27.93,30.03,29.76,-0.5126,0.0,0.0,0
1985,3,19,28.21,30.12,30.02,-0.31,0.0,0.0,0
1985,3,20,28.24,30.42,29.88,-0.1052,0.0,0.0,0
1985,3,21,28.31,30.27,29.84,-0.2742,0.0,0.0,0
1985,3,22,28.83,30.44,30.28,0.0439,0.01,0.0,0
1985,3,23,29.59,30.95,30.83,0.6306,0.61,0.0,0
1985,3,24,29.06,31.01,30.9,0.6848,0.65,0.0,0
1985,3,25,28.87,31.02,30.55,0.6803,0.66,0.0,0
1985,3,26,28.61,30.93,30.89,0.7052,0.51,0.0,0
1985,3,27,28.94,30.96,30.95,0.8277,0.58,0.0,0
1985,3,28,29.12,31.25,31.21,1.049,0.81,0.0,0
1985,3,29,29.22,31.02,30.8,0.7497,0.7,0.0,0
1985,3,30,29.35,31.0,30.79,0.7432,0.69,0.0,0
1985,3,31,29.46,30.98,30.73,0.7577,0.67,0.0,1
1985,4,1,29.55,30.96,30.78,0.661,0.65,0.0,1
1985,4,2,29.78,31.41,31.08,1.0652,0.74,0.0,1
1985,4,3,30.78,31.83,31.67,1.8513,1.77,0.2529,2
1985,4,4,30.47,31.5,31.36,1.3374,1.26,0.4329,2
1985,4,5,30.0,31.76,31.3,1.3635,0.93,0.4329,2
1985,4,6,29.93,31.82,30.95,0.7855,0.75,0.4329,2
1985,4,7,29.46,31.65,30.73,0.5713,0.46,0.4329,2
1985,4,8,28.91,31.16,30.04,0.3197,0.27,0.4329,2
1985,4,9,29.37,31.07,31.04,1.1729,0.56,0.4329,2
1985,4,10,29.95,31.14,30.95,0.9842,0.85,0.4329,2
1985,4,11,30.31,31.64,31.53,1.5519,1.43,0.6371,2
1985,4,12,30.38,31.94,31.78,1.8774,1.76,0.8886,2
1985,4,13,29.75,31.25,30.99,1.0874,1.05,1.0386,2
1985,4,14,29.1,30.82,30.61,0.6065,0.5,1.0386,2
1985,4,15,28.91,30.53,30.13,0.26,0.15,1.0386,2
1985,4,16,28.69,30.44,30.34,0.252,0.16,1.0386,2
1985,4,17,28.88,30.69,30.44,0.692,0.46,1.0386,2
1985,4,18,28.9,30.72,30.54,0.804,0.48,1.0386,2
1985,4,19,28.96,30.64,30.37,0.7107,0.35,1.0386,2
1985,4,20,28.4,29.99,29.75,-0.2867,0.0,1.0386,1
1985,4,21,28.29,30.0,29.59,-0.064,0.0,1.0386,1
1985,4,22,28.04,29.92,29.8,0.1987,0.04,1.0386,1
1985,4,23,28.33,30.16,29.96,0.3847,0.23,1.0386,1
1985,4,24,28.07,29.56,29.37,-0.195,0.0,1.0386,1
1985,4,25,27.93,29.45,29.08,-0.5167,0.0,1.0386,1
1985,4,26,27.82,29.45,29.38,-0.4413,0.0,1.0386,1
1985,4,27,28.18,29.62,29.31,-0.2,0.0,1.0386,1
1985,4,28,28.3,29.77,29.52,0.2647,0.0,1.0386,1
1985,4,29,28.27,29.77,29.71,0.016,0.0,1.0386,1
1985,4,30,27.67,29.84,29.57,-0.065,0.0,1.0386,0
1985,5,1,27.81,29.91,29.81,0.1513,0.0,1.0386,0
1985,5,2,27.53,29.67,29.56,-0.082,0.0,1.0386,0
1985,5,3,27.45,29.61,29.52,-0.09,0.0,1.0386,0
1985,5,4,27.92,30.06,29.97,0.3567,0.04,1.0386,1
1985,5,5,28.57,30.97,30.85,1.48,0.92,1.0386,1
