YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
1985,1,1,27.07,27.4,27.24,0.0313,0.0,0.0,0
1985,1,2,26.99,27.36,27.27,0.0297,0.0,0.0,0
1985,1,3,26.96,27.38,27.35,0.0513,0.0,0.0,0
1985,1,4,27.01,27.44,27.38,0.0945,0.0,0.0,0
1985,1,5,27.06,27.46,27.4,0.1077,0.0,0.0,0
1985,1,6,28.11,28.57,28.5,1.2081,0.06,0.0,0
1985,1,7,27.86,28.19,28.14,0.8416,0.0,0.0,0
1985,1,8,27.58,27.96,27.9,0.5952,0.0,0.0,0
1985,1,9,27.75,28.06,28.0,0.7787,0.0,0.0,0
1985,1,10,27.76,28.1,28.06,0.829,0.0,0.0,0
1985,1,11,27.71,28.07,27.92,0.6558,0.0,0.0,0
1985,1,12,27.86,28.26,28.22,0.8803,0.0,0.0,0
1985,1,13,28.12,28.67,28.62,1.2829,0.18,0.0,0
1985,1,14,28.31,28.8,28.77,1.4168,0.32,0.0,0
1985,1,15,28.3,28.61,28.57,1.21,0.12,0.0,0
1985,1,16,28.28,28.58,28.47,1.1342,0.09,0.0,0
1985,1,17,28.45,28.76,28.58,1.2852,0.27,0.0,0
1985,1,18,29.16,29.47,29.36,1.9926,0.98,0.0,0
1985,1,19,29.63,29.81,29.68,2.3429,1.38,0.0,0
1985,1,20,29.39,29.53,29.44,2.0813,1.12,0.0,0
1985,1,21,29.17,29.29,29.2,1.8294,0.9,0.0,0
1985,1,22,28.66,28.9,28.78,1.3858,0.46,0.0,0
1985,1,23,28.56,28.8,28.72,1.261,0.34,0.0,0
1985,1,24,28.45,28.68,28.58,1.1148,0.21,0.0,0
1985,1,25,28.46,28.76,28.58,1.1297,0.23,0.0,0
1985,1,26,28.04,28.36,28.14,0.6784,0.0,0.0,0
1985,1,27,27.8,28.1,27.92,0.4394,0.0,0.0,0
1985,1,28,27.94,28.27,28.04,0.5494,0.0,0.0,0
1985,1,29,27.38,27.93,27.69,0.1852,0.0,0.0,0
1985,1,30,26.98,27.77,27.64,0.0242,0.0,0.0,0
1985,1,31,26.91,27.71,27.47,-0.0687,0.0,0.0,0
1985,2,1,27.09,27.84,27.69,0.09,0.0,0.0,0
1985,2,2,27.23,27.91,27.71,0.1306,0.0,0.0,0
