YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
1985,1,1,28.55,28.93,28.77,-0.0045,0.0,0.0,0
1985,1,2,28.39,28.8,28.69,-0.1784,0.0,0.0,0
1985,1,3,28.43,28.79,28.65,-0.12,0.0,0.0,0
1985,1,4,28.35,28.74,28.59,-0.1665,0.0,0.0,0
1985,1,5,27.76,28.21,28.05,-0.6803,0.0,0.0,0
1985,1,6,27.66,28.22,28.04,-0.7355,0.0,0.0,0
1985,1,7,28.22,28.77,28.58,-0.2097,0.0,0.0,0
1985,1,8,28.34,28.85,28.72,-0.2255,0.0,0.0,0
1985,1,9,28.59,29.09,29.01,-0.1397,0.0,0.0,0
1985,1,10,28.56,29.06,28.94,-0.0568,0.0,0.0,0
1985,1,11,28.27,28.85,28.75,-0.2887,0.0,0.0,0
1985,1,12,27.56,28.24,28.02,-1.04,0.0,0.0,0
1985,1,13,27.78,28.4,28.27,-0.8994,0.0,0.0,0
1985,1,14,28.13,28.57,28.4,-0.6594,0.0,0.0,0
1985,1,15,29.39,29.89,29.81,0.58,0.0,0.0,0
1985,1,16,29.11,29.59,29.45,0.32,0.0,0.0,0
1985,1,17,29.09,29.62,29.46,0.4055,0.0,0.0,0
1985,1,18,28.79,29.51,29.33,0.2832,0.0,0.0,0
1985,1,19,28.87,29.56,29.43,0.3723,0.0,0.0,0
1985,1,20,28.59,29.25,29.05,-0.0297,0.0,0.0,0
1985,1,21,28.55,29.16,28.96,-0.1177,0.0,0.0,0
1985,1,22,28.4,29.04,29.01,-0.069,0.0,0.0,0
1985,1,23,28.83,29.45,29.42,0.3397,0.0,0.0,0
1985,1,24,28.85,29.47,29.37,0.3055,0.0,0.0,0
1985,1,25,28.58,29.32,29.2,0.1274,0.0,0.0,0
1985,1,26,27.85,28.63,28.46,-0.6406,0.0,0.0,0
1985,1,27,27.39,28.22,28.0,-1.0694,0.0,0.0,0
1985,1,28,27.58,28.3,28.08,-0.9894,0.0,0.0,0
1985,1,29,27.49,28.09,27.99,-1.2065,0.0,0.0,0
1985,1,30,27.54,27.96,27.81,-1.2642,0.0,0.0,0
1985,1,31,27.64,27.99,27.85,-1.2461,0.0,0.0,0
1985,2,1,27.75,28.11,27.93,-1.1665,0.0,0.0,0
1985,2,2,27.66,28.03,27.86,-1.2374,0.0,0.0,0
1985,2,3,28.12,28.51,28.35,-0.7452,0.0,0.0,0
1985,2,4,27.59,28.08,27.92,-1.1845,0.0,0.0,0
1985,2,5,27.96,28.29,28.16,-0.9477,0.0,0.0,0
1985,2,6,28.66,28.95,28.8,-0.3068,0.0,0.0,0
1985,2,7,28.84,29.12,29.05,-0.0519,0.0,0.0,0
1985,2,8,28.77,29.29,29.2,0.0968,0.0,0.0,0
1985,2,9,28.01,28.62,28.5,-0.6126,0.0,0.0,0
1985,2,10,27.91,28.62,28.46,-0.6419,0.0,0.0,0
1985,2,11,27.82,28.61,28.44,-0.6784,0.0,0.0,0
1985,2,12,28.01,28.81,28.63,-0.4823,0.0,0.0,0
1985,2,13,28.53,29.09,28.95,-0.1581,0.0,0.0,0
1985,2,14,28.76,29.45,29.28,0.1523,0.0,0.0,0
1985,2,15,29.26,30.02,29.88,0.76,0.13,0.0,0
1985,2,16,29.32,30.18,30.02,0.8771,0.26,0.0,0
1985,2,17,29.38,30.49,30.28,1.1243,0.53,0.0,0
1985,2,18,29.35,30.32,30.1,0.9204,0.34,0.0,0
1985,2,19,29.21,29.78,29.68,0.4029,0.0,0.0,0
1985,2,20,28.88,29.61,29.43,0.2057,0.0,0.0,0
1985,2,21,28.98,29.68,29.46,0.2129,0.0,0.0,0
1985,2,22,28.67,29.29,29.14,-0.14,0.0,0.0,0
1985,2,23,28.24,28.87,28.68,-0.64,0.0,0.0,0
1985,2,24,28.35,28.83,28.64,-0.6889,0.0,0.0,0
1985,2,25,28.56,29.03,28.87,-0.4721,0.0,0.0,0
1985,2,26,28.47,28.94,28.8,-0.5754,0.0,0.0,0
1985,2,27,28.12,28.75,28.63,-0.7786,0.0,0.0,0
1985,2,28,27.95,28.69,28.54,-0.8671,0.0,0.0,0
1985,3,1,27.91,28.85,28.71,-0.74,0.0,0.0,0
1985,3,2,27.92,28.67,28.49,-0.9729,0.0,0.0,0
1985,3,3,28.22,28.84,28.66,-0.83,0.0,0.0,0
1985,3,4,28.19,28.6,28.5,-1.0086,0.0,0.0,0
1985,3,5,28.73,29.3,29.22,-0.3014,0.0,0.0,0
1985,3,6,28.8,29.26,29.24,-0.3243,0.0,0.0,0
1985,3,7,29.32,29.73,29.67,0.1129,0.0,0.0,0
1985,3,8,29.45,29.98,29.95,0.3475,0.19,0.0,0
1985,3,9,29.59,30.35,30.3,0.6671,0.53,0.0,0
1985,3,10,29.68,30.39,30.35,0.6943,0.58,0.0,0
1985,3,11,29.75,30.39,30.36,0.69,0.6,0.0,0
1985,3,12,29.3,29.74,29.69,-0.0114,0.0,0.0,0
1985,3,13,28.64,29.03,28.94,-0.7836,0.0,0.0,0
1985,3,14,29.01,29.27,29.14,-0.5871,0.0,0.0,0
1985,3,15,29.02,29.39,29.2,-0.56,0.0,0.0,0
1985,3,16,29.1,29.45,29.26,-0.4958,0.0,0.0,0
1985,3,17,28.82,29.05,28.96,-0.7823,0.0,0.0,0
1985,3,18,28.85,29.09,28.99,-0.7574,0.0,0.0,0
1985,3,19,29.49,29.73,29.69,-0.0532,0.0,0.0,0
1985,3,20,30.03,30.39,30.24,0.4926,0.47,0.0,0
1985,3,21,28.91,29.7,29.56,-0.2706,0.0,0.0,0
1985,3,22,28.93,29.54,29.43,-0.4074,0.0,0.0,0
1985,3,23,29.49,30.08,29.94,0.1006,0.08,0.0,0
1985,3,24,30.08,30.44,30.27,0.5377,0.5,0.0,0
1985,3,25,30.27,30.6,30.55,0.7323,0.7,0.0,0
1985,3,26,30.13,30.42,30.31,0.5755,0.54,0.0,0
1985,3,27,30.07,30.4,30.21,0.5065,0.46,0.0,0
1985,3,28,30.31,30.65,30.54,0.7319,0.69,0.0,0
1985,3,29,29.71,30.14,30.12,0.2216,0.19,0.0,0
1985,3,30,30.02,30.3,30.15,0.4429,0.38,0.0,0
1985,3,31,30.02,30.28,30.13,0.4219,0.36,0.0,1
1985,4,1,30.0,30.24,30.09,0.4013,0.33,0.0,1
1985,4,2,30.07,30.52,30.33,0.6239,0.56,0.0,1
1985,4,3,30.14,30.66,30.6,0.7429,0.7,0.0,1
1985,4,4,30.3,30.87,30.76,0.9094,0.89,0.0,1
1985,4,5,30.89,31.27,31.14,1.4577,1.39,0.1986,2
1985,4,6,30.99,31.37,31.26,1.5823,1.49,0.4114,2
1985,4,7,30.96,31.33,31.2,1.5194,1.46,0.62,2
1985,4,8,30.55,30.88,30.8,1.1206,1.02,0.7657,2
1985,4,9,29.77,30.2,30.07,0.3968,0.3,0.7657,2
1985,4,10,30.42,30.72,30.61,0.949,0.84,0.7657,2
1985,4,11,31.06,31.32,31.21,1.5571,1.47,0.9757,2
1985,4,12,31.42,31.67,31.56,1.9084,1.8,1.2329,2
1985,4,13,30.31,30.61,30.46,0.8116,0.69,1.2329,2
1985,4,14,29.82,30.26,30.17,0.3184,0.27,1.2329,2
1985,4,15,29.7,30.23,30.07,0.24,0.22,1.2329,2
1985,4,16,29.82,30.25,30.21,0.3817,0.3,1.2329,2
1985,4,17,30.03,30.49,30.3,0.7613,0.53,1.2329,2
1985,4,18,29.47,30.18,30.07,0.356,0.18,1.2329,2
1985,4,19,29.29,29.92,29.83,0.158,0.0,1.2329,1
1985,4,20,28.64,29.14,28.93,-0.4717,0.0,1.2329,1
1985,4,21,28.21,28.77,28.55,-0.806,0.0,1.2329,1
1985,4,22,27.6,27.99,27.8,-1.5997,0.0,1.2329,1
1985,4,23,27.58,28.08,27.9,-1.528,0.0,1.2329,1
1985,4,24,27.54,28.45,28.24,-1.2,0.0,1.2329,1
1985,4,25,27.82,28.86,28.66,-0.76,0.0,1.2329,0
1985,4,26,28.14,29.21,29.01,-0.3717,0.0,1.2329,0
1985,4,27,28.71,29.62,29.45,0.11,0.0,1.2329,0
1985,4,28,29.95,30.36,30.25,1.0377,0.46,1.2329,1
1985,4,29,30.0,30.33,30.22,1.1607,0.5,1.2329,1
1985,4,30,29.32,29.7,29.6,0.585,0.0,1.2329,1
1985,5,1,29.39,29.76,29.63,0.6693,0.0,1.2329,1
1985,5,2,29.21,29.62,29.47,0.5537,0.0,1.2329,1
1985,5,3,29.38,29.79,29.62,0.738,0.0,1.2329,1
1985,5,4,29.82,30.25,30.08,1.256,0.33,1.2329,1
1985,5,5,30.38,30.8,30.64,1.8567,0.88,1.2329,1
1985,5,6,30.6,31.29,31.22,2.266,1.31,1.42,2
1985,5,7,29.17,30.4,30.25,1.3487,0.34,1.42,2
1985,5,8,28.38,29.43,29.26,0.3683,0.0,1.42,2
1985,5,9,28.39,29.42,29.28,0.448,0.0,1.42,2
1985,5,10,29.24,30.4,30.27,1.4717,0.4,1.42,2
1985,5,11,29.46,30.68,30.59,1.832,0.69,1.42,2
1985,5,12,29.66,30.74,30.66,1.944,0.76,1.42,2
1985,5,13,30.06,31.12,30.99,2.326,1.13,1.5814,2
1985,5,14,30.28,31.37,31.21,2.588,1.35,1.7743,2
1985,5,15,29.82,30.89,30.7,2.13,0.87,1.7743,2
