YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
1985,1,1,29.25,29.82,29.77,0.3658,0.28,0.0,0
1985,1,2,29.1,29.74,29.67,0.2597,0.18,0.0,0
1985,1,3,29.03,29.69,29.62,0.1813,0.1,0.0,0
1985,1,4,28.99,29.74,29.69,0.4639,0.07,0.0,0
1985,1,5,29.13,29.78,29.6,0.1577,0.09,0.0,0
1985,1,6,29.47,29.84,29.6,0.5774,0.17,0.0,0
1985,1,7,29.55,29.97,29.88,0.4423,0.3,0.0,0
1985,1,8,29.42,30.03,29.95,0.5177,0.35,0.0,0
1985,1,9,29.35,30.29,30.26,0.7881,0.66,0.0,0
1985,1,10,29.4,30.78,30.76,1.31,1.16,0.0,0
1985,1,11,29.38,30.76,30.74,1.28,1.13,0.0,0
1985,1,12,28.81,30.14,30.05,0.5261,0.46,0.0,0
1985,1,13,28.5,29.63,29.45,-0.0139,0.0,0.0,0
1985,1,14,28.65,29.91,29.6,0.109,0.1,0.0,0
1985,1,15,29.17,29.96,29.89,0.27,0.17,0.0,0
1985,1,16,29.08,29.98,29.84,0.1906,0.14,0.0,0
1985,1,17,29.07,30.01,29.88,0.3045,0.15,0.0,0
1985,1,18,28.95,29.89,29.88,0.2674,0.25,0.0,0
1985,1,19,28.12,29.26,29.16,-0.4194,0.0,0.0,0
1985,1,20,28.3,29.69,29.48,-0.0826,0.0,0.0,0
1985,1,21,28.28,29.62,29.52,-0.0652,0.0,0.0,0
1985,1,22,28.46,29.78,29.51,-0.0748,0.0,0.0,0
1985,1,23,28.66,29.87,29.69,0.0777,0.0,0.0,0
1985,1,24,28.59,29.95,29.67,0.0952,0.04,0.0,0
1985,1,25,28.09,29.47,29.11,-0.2826,0.0,0.0,0
1985,1,26,27.66,29.23,28.92,-0.3984,0.0,0.0,0
1985,1,27,27.64,29.33,29.01,-0.4432,0.0,0.0,0
1985,1,28,28.21,29.3,29.08,-0.4152,0.0,0.0,0
1985,1,29,28.2,29.95,29.62,0.1181,0.0,0.0,0
1985,1,30,27.96,29.85,29.51,-0.0265,0.0,0.0,0
1985,1,31,27.83,29.9,29.55,0.091,0.04,0.0,0
1985,2,1,27.9,30.07,29.85,0.4016,0.22,0.0,0
1985,2,2,27.93,30.02,29.83,0.3806,0.26,0.0,0
1985,2,3,28.06,29.91,29.84,0.3794,0.2,0.0,0
1985,2,4,28.06,29.53,29.48,0.0187,0.0,0.0,0
1985,2,5,28.76,30.36,30.11,0.6906,0.43,0.0,0
1985,2,6,29.19,30.87,30.71,1.4155,1.0,0.0,0
1985,2,7,29.36,30.98,30.78,1.5097,1.09,0.0,0
1985,2,8,29.46,30.98,30.67,1.281,0.99,0.0,0
1985,2,9,29.32,30.62,30.1,0.6284,0.54,0.0,0
1985,2,10,29.1,30.62,30.08,0.6087,0.51,0.0,0
1985,2,11,28.95,30.63,30.2,0.9155,0.48,0.0,0
1985,2,12,28.97,30.93,30.4,1.1306,0.67,0.0,0
1985,2,13,29.16,30.61,30.18,0.7048,0.58,0.0,0
1985,2,14,29.24,30.49,30.29,0.8477,0.7,0.0,0
1985,2,15,29.13,30.55,30.3,0.87,0.71,0.0,0
1985,2,16,29.11,30.42,30.21,0.7796,0.59,0.0,0
1985,2,17,29.04,30.29,30.13,0.69,0.51,0.0,0
1985,2,18,29.28,30.28,30.17,0.7143,0.56,0.0,0
1985,2,19,29.22,30.27,30.21,0.7386,0.6,0.0,0
1985,2,20,29.18,30.35,30.23,0.7725,0.64,0.0,0
1985,2,21,29.04,30.25,29.86,0.8014,0.5,0.0,0
1985,2,22,28.4,29.74,29.47,0.0425,0.0,0.0,0
1985,2,23,27.89,29.54,29.15,-0.2643,0.0,0.0,0
1985,2,24,28.11,29.18,29.0,-0.3579,0.0,0.0,0
1985,2,25,28.23,29.4,29.21,-0.1336,0.0,0.0,0
1985,2,26,28.14,29.08,28.97,-0.3929,0.0,0.0,0
1985,2,27,27.58,28.88,28.67,-0.7514,0.0,0.0,0
1985,2,28,27.34,29.08,28.99,-0.4268,0.0,0.0,0
1985,3,1,27.45,29.12,29.05,-0.375,0.0,0.0,0
1985,3,2,27.49,29.14,29.02,-0.2489,0.0,0.0,0
1985,3,3,28.43,29.28,28.9,-0.1971,0.0,0.0,0
1985,3,4,28.49,29.24,29.1,-0.1729,0.0,0.0,0
1985,3,5,28.22,29.49,28.99,-0.3929,0.0,0.0,0
1985,3,6,28.31,29.5,29.07,-0.1625,0.0,0.0,0
1985,3,7,28.5,29.79,29.58,0.1543,0.0,0.0,0
1985,3,8,28.42,29.58,29.4,-0.075,0.0,0.0,0
1985,3,9,28.35,29.48,28.87,-0.3071,0.0,0.0,0
1985,3,10,28.49,29.76,29.41,0.1232,0.0,0.0,0
1985,3,11,28.63,30.08,29.76,0.4571,0.13,0.0,0
1985,3,12,29.17,29.92,29.47,0.2971,0.03,0.0,0
1985,3,13,29.08,29.93,29.66,0.3507,0.04,0.0,0
1985,3,14,28.38,29.53,29.31,-0.0886,0.0,0.0,0
1985,3,15,28.52,29.96,29.78,0.38,0.19,0.0,0
1985,3,16,28.37,29.69,29.53,0.1132,0.0,0.0,0
1985,3,17,27.84,29.25,29.04,-0.3835,0.0,0.0,0
1985,3,18,27.78,28.42,28.36,-1.0884,0.0,0.0,0
1985,3,19,27.97,28.85,28.79,-0.6645,0.0,0.0,0
1985,3,20,27.89,29.05,28.9,-0.5371,0.0,0.0,0
1985,3,21,28.22,29.33,29.18,-0.2706,0.0,0.0,0
1985,3,22,29.18,30.09,30.04,0.4339,0.31,0.0,0
1985,3,23,29.61,30.37,30.08,0.8061,0.68,0.0,0
1985,3,24,28.99,30.14,30.01,0.3965,0.29,0.0,0
1985,3,25,28.82,29.92,29.76,0.1416,0.04,0.6257,0
1985,3,26,28.26,29.62,29.33,-0.2868,0.0,0.6257,0
1985,3,27,28.9,29.68,29.4,-0.0423,0.0,0.6257,0
1985,3,28,29.14,29.91,29.66,0.2184,0.05,0.6257,0
1985,3,29,28.96,29.98,29.54,0.2677,0.18,0.6257,0
1985,3,30,29.12,30.02,29.63,0.3332,0.23,0.6257,0
1985,3,31,28.74,30.03,29.61,0.3223,0.24,0.6257,1
1985,4,1,28.67,30.03,29.62,0.3313,0.25,0.6257,1
1985,4,2,28.68,30.39,30.23,0.7297,0.65,0.6257,1
1985,4,3,28.9,31.55,31.12,1.589,1.5,0.84,2
1985,4,4,28.96,30.96,30.45,1.0774,1.01,0.8186,2
1985,4,5,29.39,30.5,30.1,0.771,0.7,0.6571,2
1985,4,6,29.31,30.54,30.41,0.7265,0.68,0.6571,2
1985,4,7,28.92,30.24,30.06,0.3787,0.34,0.6571,2
1985,4,8,28.56,29.72,29.46,-0.0768,0.0,0.6571,2
1985,4,9,28.72,30.11,29.76,0.1968,0.16,0.6571,2
1985,4,10,29.33,30.7,30.24,0.8442,0.82,0.6571,2
1985,4,11,29.37,31.15,31.01,1.4248,1.39,0.8557,2
1985,4,12,29.44,31.47,31.37,1.6555,1.64,1.09,2
1985,4,13,28.95,30.84,30.59,0.909,0.9,1.09,2
1985,4,14,28.85,29.83,29.55,-0.0639,0.0,1.09,2
1985,4,15,29.11,29.81,29.6,-0.02,0.0,1.09,2
1985,4,16,29.24,29.94,29.71,0.385,0.23,1.09,2
1985,4,17,29.38,30.22,29.96,0.5147,0.48,1.09,2
1985,4,18,29.35,30.34,29.83,0.512,0.47,1.09,2
1985,4,19,29.03,30.14,29.94,0.7913,0.45,1.09,1
1985,4,20,27.81,29.7,29.52,0.3883,0.04,1.09,1
1985,4,21,27.76,29.82,29.52,0.398,0.03,1.09,1
1985,4,22,27.67,30.11,29.73,0.6097,0.26,1.09,1
1985,4,23,28.43,29.95,29.8,0.3733,0.24,1.09,1
1985,4,24,28.31,29.56,29.55,0.055,0.0,1.09,1
1985,4,25,28.42,29.3,29.3,-0.1567,0.0,1.09,1
1985,4,26,28.61,29.38,29.27,-0.135,0.0,1.09,1
1985,4,27,28.68,29.6,29.42,-0.034,0.0,1.09,1
1985,4,28,28.83,29.85,29.65,0.236,0.0,1.09,1
1985,4,29,28.88,29.84,29.33,0.1753,0.0,1.09,1
1985,4,30,28.3,29.31,28.9,-0.265,0.0,1.09,0
1985,5,1,28.35,29.47,29.11,-0.0693,0.0,0.9471,0
1985,5,2,28.39,29.4,29.26,-0.09,0.0,0.7914,0
1985,5,3,28.61,29.6,29.47,0.13,0.0,0.7914,0
1985,5,4,29.17,30.19,30.01,0.7127,0.32,0.7914,1
1985,5,5,29.76,30.88,30.47,1.3767,1.05,0.9414,2
1985,5,6,29.99,31.34,30.99,1.887,1.53,1.16,2
1985,5,7,29.69,30.91,30.56,1.474,1.1,1.3171,2
1985,5,8,29.35,30.36,30.29,1.0737,0.56,1.3171,2
1985,5,9,29.02,30.21,30.1,0.9,0.38,1.3171,2
1985,5,10,29.59,30.87,30.77,1.5917,1.05,1.4671,2
1985,5,11,30.0,31.1,31.01,1.85,1.33,1.6571,2
1985,5,12,30.15,31.09,31.05,1.906,1.33,1.8471,2
1985,5,13,30.37,31.47,31.02,2.042,1.65,2.0829,2
1985,5,14,30.47,31.67,31.36,2.3827,1.88,2.3514,2
1985,5,15,29.8,31.19,31.1,2.06,1.39,2.55,2
1985,5,16,29.45,30.66,30.59,1.5735,0.88,2.55,2
1985,5,17,29.25,30.3,30.09,0.9616,0.46,2.55,2
1985,5,18,28.11,29.39,29.02,0.1619,0.0,2.55,2
1985,5,19,28.1,29.32,28.9,0.1039,0.0,2.55,2
1985,5,20,27.97,29.4,28.97,0.1816,0.0,2.55,2
1985,5,21,27.63,29.18,29.11,0.2429,0.0,2.55,2
1985,5,22,27.43,28.99,28.57,-0.1577,0.0,2.55,1
1985,5,23,27.81,28.6,28.38,-0.3223,0.0,2.55,1
1985,5,24,27.86,28.77,28.65,-0.101,0.0,2.55,0
1985,5,25,27.71,28.65,28.47,-0.2413,0.0,2.55,0
1985,5,26,27.77,28.79,28.27,-0.3245,0.0,2.55,0
1985,5,27,27.83,28.81,28.54,-0.1319,0.0,2.55,0
1985,5,28,27.88,28.35,28.24,-0.2665,0.0,2.55,0
1985,5,29,27.26,28.15,28.1,-0.4794,0.0,2.55,0
1985,5,30,27.29,28.32,28.27,-0.2765,0.0,2.55,0
1985,5,31,27.37,28.64,28.59,0.0729,0.0,2.55,0
1985,6,1,27.88,29.12,29.05,0.5684,0.0,2.55,0
1985,6,2,27.65,28.87,28.82,0.3797,0.0,2.55,0
1985,6,3,27.7,28.92,28.69,0.3148,0.0,2.55,0
1985,6,4,27.73,28.63,28.55,0.1774,0.0,2.55,0
1985,6,5,27.63,28.4,28.37,0.0213,0.0,2.55,0
1985,6,6,27.21,28.19,28.14,-0.1677,0.0,2.55,0
1985,6,7,26.71,27.75,27.59,-0.6839,0.0,2.55,0
1985,6,8,27.08,27.9,27.85,-0.4081,0.0,2.55,0
1985,6,9,27.32,28.15,28.08,-0.1435,0.0,2.55,0
1985,6,10,27.54,28.44,28.35,0.1571,0.0,2.55,0
1985,6,11,26.9,27.94,27.82,-0.3416,0.0,2.55,0
1985,6,12,27.04,27.96,27.8,-0.3387,0.0,2.55,0
1985,6,13,27.37,28.37,27.97,-0.0997,0.0,2.55,0
1985,6,14,27.4,28.5,28.13,0.1048,0.0,2.55,0
1985,6,15,26.86,28.17,27.78,-0.21,0.0,2.55,0
