Date_Month,Date_Year,Bleaching,Reef_Name
5,1998,1,Andaman & Nicobar Islands
3,1998,1,Andaman & Nicobar Islands
4,1998,1,Andaman & Nicobar Islands
4,2016,1,Andaman & Nicobar Islands
5,2016,1,Andaman & Nicobar Islands
4,2010,1,Andaman & Nicobar Islands
5,2010,1,Andaman & Nicobar Islands
6,2010,1,Andaman & Nicobar Islands
7,2010,1,Andaman & Nicobar Islands
4,2005,1,Andaman & Nicobar Islands
5,2005,1,Andaman & Nicobar Islands
4,2002,1,Andaman & Nicobar Islands
5,2002,1,Andaman & Nicobar Islands
4,1998,1,Gulf of Kutch
5,1998,1,Gulf of Kutch
6,1998,1,Gulf of Kutch
4,2010,1,Gulf of Kutch
5,2010,1,Gulf of Kutch
6,2010,1,Gulf of Kutch
6,2015,1,Gulf of Kutch
5,2016,1,Gulf of Kutch
6,2016,1,Gulf of Kutch
7,2016,1,Gulf of Kutch
5,1998,1,Gulf of Mannar
6,1998,1,Gulf of Mannar
7,1998,1,Gulf of Mannar
5,1999,1,Gulf of Mannar
3,2002,1,Gulf of Mannar
5,2002,1,Gulf of Mannar
4,2002,1,Gulf of Mannar
4,2005,1,Gulf of Mannar
5,2005,1,Gulf of Mannar
5,2006,1,Gulf of Mannar
4,2006,1,Gulf of Mannar
5,2007,1,Gulf of Mannar
4,2007,1,Gulf of Mannar
4,2008,1,Gulf of Mannar
4,2010,1,Gulf of Mannar
5,2010,1,Gulf of Mannar
6,2010,1,Gulf of Mannar
3,2016,1,Gulf of Mannar
4,2016,1,Gulf of Mannar
5,2016,1,Gulf of Mannar
6,2016,1,Gulf of Mannar
4,2019,1,Gulf of Mannar
5,2019,1,Gulf of Mannar
4,2020,1,Gulf of Mannar
5,2020,1,Gulf of Mannar
5,1998,1,Lakshadweep
6,1998,1,Lakshadweep
5,2010,1,Lakshadweep
6,2010,1,Lakshadweep
4,2016,1,Lakshadweep
5,2016,1,Lakshadweep
