Source_File,YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
lakshadweep.txt,1985,1,1,27.84,28.11,28.1,-0.1555,0.0,0.0,0
lakshadweep.txt,1985,1,2,27.83,28.1,28.07,-0.1658,0.0,0.0,0
lakshadweep.txt,1985,1,3,27.89,28.19,28.11,-0.0413,0.0,0.0,0
lakshadweep.txt,1985,1,4,28.02,28.31,28.3,0.1416,0.0,0.0,0
lakshadweep.txt,1985,1,5,27.47,27.73,27.65,-0.43,0.0,0.0,0
lakshadweep.txt,1985,1,6,27.63,27.92,27.8,-0.2829,0.0,0.0,0
lakshadweep.txt,1985,1,7,27.88,28.32,28.27,0.1661,0.0,0.0,0
lakshadweep.txt,1985,1,8,27.86,28.43,28.37,0.2103,0.0,0.0,0
lakshadweep.txt,1985,1,9,27.67,28.39,28.29,0.1355,0.0,0.0,0
lakshadweep.txt,1985,1,10,27.02,28.25,27.86,-0.2748,0.0,0.0,0
lakshadweep.txt,1985,1,11,26.9,28.17,27.81,-0.33,0.0,0.0,0
lakshadweep.txt,1985,1,12,27.11,28.32,28.03,-0.0729,0.0,0.0,0
lakshadweep.txt,1985,1,13,27.22,28.26,28.05,-0.07,0.0,0.0,0
lakshadweep.txt,1985,1,14,27.39,28.31,28.19,0.0826,0.0,0.0,0
lakshadweep.txt,1985,1,15,27.5,28.32,28.18,0.07,0.0,0.0,0
lakshadweep.txt,1985,1,16,27.42,28.35,28.27,0.2542,0.0,0.0,0
lakshadweep.txt,1985,1,17,27.51,28.94,28.87,0.8452,0.0,0.0,0
lakshadweep.txt,1985,1,18,27.77,29.06,28.97,0.9277,0.0,0.0,0
lakshadweep.txt,1985,1,19,28.0,29.11,29.01,0.9529,0.0,0.0,0
lakshadweep.txt,1985,1,20,28.01,28.97,28.96,0.8961,0.0,0.0,0
lakshadweep.txt,1985,1,21,27.98,29.14,29.03,0.9613,0.0,0.0,0
lakshadweep.txt,1985,1,22,27.86,28.56,28.46,0.3803,0.0,0.0,0
lakshadweep.txt,1985,1,23,27.71,28.4,28.34,0.2255,0.0,0.0,0
lakshadweep.txt,1985,1,24,27.66,28.63,28.57,0.4703,0.0,0.0,0
lakshadweep.txt,1985,1,25,27.69,28.76,28.67,0.5626,0.0,0.0,0
lakshadweep.txt,1985,1,26,27.54,28.8,28.73,0.6148,0.0,0.0,0
lakshadweep.txt,1985,1,27,28.11,29.02,28.92,0.811,0.0,0.0,0
lakshadweep.txt,1985,1,28,27.85,28.82,28.76,0.6352,0.0,0.0,0
lakshadweep.txt,1985,1,29,27.76,28.75,28.71,0.5616,0.0,0.0,0
lakshadweep.txt,1985,1,30,27.57,28.85,28.81,0.6639,0.0,0.0,0
lakshadweep.txt,1985,1,31,27.64,28.58,28.48,0.301,0.0,0.0,0
lakshadweep.txt,1985,2,1,27.68,28.71,28.7,0.5239,0.0,0.0,0
lakshadweep.txt,1985,2,2,27.8,28.9,28.74,0.5532,0.0,0.0,0
lakshadweep.txt,1985,2,3,27.79,28.94,28.8,0.6006,0.0,0.0,0
lakshadweep.txt,1985,2,4,27.66,28.9,28.59,0.4087,0.0,0.0,0
lakshadweep.txt,1985,2,5,27.38,28.44,28.35,0.1342,0.0,0.0,0
lakshadweep.txt,1985,2,6,27.5,28.45,28.45,0.2268,0.0,0.0,0
lakshadweep.txt,1985,2,7,27.69,28.47,28.34,0.1371,0.0,0.0,0
lakshadweep.txt,1985,2,8,27.42,28.55,28.42,0.2065,0.0,0.0,0
lakshadweep.txt,1985,2,9,27.25,28.57,28.4,0.1803,0.0,0.0,0
lakshadweep.txt,1985,2,10,27.3,28.58,28.42,0.1987,0.0,0.0,0
lakshadweep.txt,1985,2,11,27.35,28.55,28.4,0.1519,0.0,0.0,0
lakshadweep.txt,1985,2,12,27.29,28.4,28.28,0.0616,0.0,0.0,0
lakshadweep.txt,1985,2,13,27.26,28.39,28.14,-0.1252,0.0,0.0,0
lakshadweep.txt,1985,2,14,27.44,28.73,28.35,0.0771,0.0,0.0,0
lakshadweep.txt,1985,2,15,27.25,28.47,27.8,-0.47,0.0,0.0,0
lakshadweep.txt,1985,2,16,27.5,28.46,28.24,-0.0664,0.0,0.0,0
lakshadweep.txt,1985,2,17,27.32,28.2,28.09,-0.2193,0.0,0.0,0
lakshadweep.txt,1985,2,18,27.08,28.15,28.04,-0.315,0.0,0.0,0
lakshadweep.txt,1985,2,19,27.02,28.14,28.06,-0.28,0.0,0.0,0
lakshadweep.txt,1985,2,20,26.65,27.84,27.72,-0.68,0.0,0.0,0
lakshadweep.txt,1985,2,21,27.17,28.24,28.15,-0.26,0.0,0.0,0
lakshadweep.txt,1985,2,22,27.6,28.6,28.45,-0.0375,0.0,0.0,0
lakshadweep.txt,1985,2,23,28.07,29.04,28.86,0.3729,0.0,0.0,0
lakshadweep.txt,1985,2,24,27.94,28.83,28.7,0.2,0.0,0.0,0
lakshadweep.txt,1985,2,25,27.73,28.78,28.54,0.01,0.0,0.0,0
lakshadweep.txt,1985,2,26,27.31,28.82,28.26,-0.245,0.0,0.0,0
lakshadweep.txt,1985,2,27,26.89,28.8,27.96,-0.5757,0.0,0.0,0
lakshadweep.txt,1985,2,28,26.9,28.9,27.92,-0.6604,0.0,0.0,0
lakshadweep.txt,1985,3,1,26.96,28.13,27.63,-0.955,0.0,0.0,0
lakshadweep.txt,1985,3,2,27.51,28.36,28.03,-0.575,0.0,0.0,0
lakshadweep.txt,1985,3,3,27.52,28.3,28.01,-0.5014,0.0,0.0,0
lakshadweep.txt,1985,3,4,27.52,28.28,28.18,-0.485,0.0,0.0,0
lakshadweep.txt,1985,3,5,27.48,28.35,28.23,-0.55,0.0,0.0,0
lakshadweep.txt,1985,3,6,27.45,28.25,28.12,-0.69,0.0,0.0,0
lakshadweep.txt,1985,3,7,27.79,28.76,28.67,-0.18,0.0,0.0,0
lakshadweep.txt,1985,3,8,27.95,28.73,28.57,-0.2275,0.0,0.0,0
lakshadweep.txt,1985,3,9,27.83,28.6,28.54,-0.3621,0.0,0.0,0
lakshadweep.txt,1985,3,10,28.23,28.65,28.61,-0.1196,0.0,0.0,0
lakshadweep.txt,1985,3,11,28.07,28.63,28.56,-0.39,0.0,0.0,0
lakshadweep.txt,1985,3,12,27.97,28.69,28.51,-0.4296,0.0,0.0,0
lakshadweep.txt,1985,3,13,28.93,29.63,29.52,0.6957,0.0,0.0,0
lakshadweep.txt,1985,3,14,28.96,29.67,29.63,0.6554,0.0,0.0,0
lakshadweep.txt,1985,3,15,28.69,29.5,29.45,0.42,0.0,0.0,0
lakshadweep.txt,1985,3,16,28.65,29.49,29.41,0.3381,0.0,0.0,0
lakshadweep.txt,1985,3,17,28.23,29.26,29.17,0.0642,0.0,0.0,0
lakshadweep.txt,1985,3,18,28.42,29.53,29.26,0.4052,0.0,0.0,0
lakshadweep.txt,1985,3,19,29.26,29.96,29.7,0.5571,0.0,0.0,0
lakshadweep.txt,1985,3,20,29.0,29.93,29.76,0.6155,0.0,0.0,0
lakshadweep.txt,1985,3,21,28.5,29.49,29.41,0.1871,0.0,0.0,0
lakshadweep.txt,1985,3,22,28.32,29.35,29.22,-0.0306,0.0,0.0,0
lakshadweep.txt,1985,3,23,28.53,29.5,29.35,0.1645,0.0,0.0,0
lakshadweep.txt,1985,3,24,28.74,29.52,29.44,0.1264,0.0,0.0,0
lakshadweep.txt,1985,3,25,29.36,30.02,29.97,0.691,0.0,0.0,0
lakshadweep.txt,1985,3,26,29.65,30.36,30.27,0.9681,0.3,0.0,0
lakshadweep.txt,1985,3,27,29.16,30.37,30.14,1.1113,0.18,0.0,0
lakshadweep.txt,1985,3,28,28.86,30.24,29.98,0.9413,0.02,0.0,0
lakshadweep.txt,1985,3,29,28.65,29.65,29.51,0.1548,0.0,0.0,0
lakshadweep.txt,1985,3,30,28.99,29.73,29.61,0.1629,0.0,0.0,0
lakshadweep.txt,1985,3,31,28.9,29.58,29.49,0.0071,0.0,0.0,1
lakshadweep.txt,1985,4,1,29.35,29.95,29.75,0.5971,0.0,0.0,1
lakshadweep.txt,1985,4,2,29.3,29.91,29.84,0.6626,0.0,0.0,1
lakshadweep.txt,1985,4,3,29.75,30.16,30.09,0.6642,0.09,0.0,1
lakshadweep.txt,1985,4,4,29.44,30.32,30.13,0.5539,0.09,0.0,1
lakshadweep.txt,1985,4,5,29.32,30.31,29.9,0.3623,0.0,0.0,1
lakshadweep.txt,1985,4,6,29.28,29.97,29.89,0.2594,0.0,0.0,1
lakshadweep.txt,1985,4,7,29.6,30.15,30.05,0.7484,0.07,0.0,1
lakshadweep.txt,1985,4,8,29.36,30.05,29.93,0.6026,0.0,0.0,1
lakshadweep.txt,1985,4,9,29.16,29.93,29.8,0.2013,0.0,0.0,1
