Year,Month,Day,Latitude,Longitude,pH_total,Salinity,pCO2,fCO2,Reef Name
1985,1,1,6.5,92.5,8.097483,33.678272,336.68372,335.64648,Andaman & Nicobar Islands
1985,1,1,6.5,93.5,8.0981045,33.617237,335.7188,334.68527,Andaman & Nicobar Islands
1985,1,1,7.5,92.5,8.099027,33.641647,335.02182,333.98755,Andaman & Nicobar Islands
1985,1,1,7.5,93.5,8.099144,33.551147,334.6683,333.63638,Andaman & Nicobar Islands
1985,1,1,8.5,71.5,8.08813,35.377655,356.33997,355.2458,Lakshadweep
1985,1,1,8.5,72.5,8.087922,34.75832,353.45996,352.37576,Lakshadweep
1985,1,1,8.5,73.5,8.100837,34.695286,338.88818,337.8485,Lakshadweep
1985,1,1,8.5,74.5,8.099641,34.61389,339.26825,338.2289,Lakshadweep
1985,1,1,8.5,78.5,8.0942545,31.716423,322.62326,321.61575,Gulf of Mannar
1985,1,1,8.5,92.5,8.098999,33.550125,334.8323,333.79816,Andaman & Nicobar Islands
1985,1,1,8.5,93.5,8.100121,33.439312,333.25452,332.22455,Andaman & Nicobar Islands
1985,1,1,9.5,71.5,8.090839,35.57808,354.5755,353.48627,Lakshadweep
1985,1,1,9.5,72.5,8.088467,34.805943,353.67163,352.58615,Lakshadweep
1985,1,1,9.5,73.5,8.098388,34.149338,342.86038,341.80878,Lakshadweep
1985,1,1,9.5,74.5,8.096932,33.522522,339.8761,338.8335,Lakshadweep
1985,1,1,9.5,92.5,8.103793,33.555897,329.95502,328.93497,Andaman & Nicobar Islands
1985,1,1,9.5,93.5,8.103455,33.660187,329.64413,328.62463,Andaman & Nicobar Islands
1985,1,1,10.5,71.5,8.093508,35.979942,354.014,352.92532,Lakshadweep
1985,1,1,10.5,72.5,8.091465,35.402443,353.84464,352.75778,Lakshadweep
1985,1,1,10.5,73.5,8.09978,34.052998,341.4589,340.411,Lakshadweep
1985,1,1,10.5,74.5,8.100721,32.642704,336.77036,335.73538,Lakshadweep
1985,1,1,10.5,92.5,8.104794,33.789284,328.5472,327.53116,Andaman & Nicobar Islands
1985,1,1,10.5,93.5,8.11077,33.742397,322.36383,321.3665,Andaman & Nicobar Islands
1985,1,1,11.5,71.5,8.0953455,36.192764,353.22366,352.13434,Lakshadweep
1985,1,1,11.5,72.5,8.094263,36.127277,353.47943,352.3925,Lakshadweep
1985,1,1,11.5,73.5,8.106059,36.022766,340.6715,339.62506,Lakshadweep
1985,1,1,11.5,74.5,8.09635,33.734673,339.90952,338.86642,Lakshadweep
1985,1,1,11.5,92.5,8.11375,33.6188,319.3906,318.40143,Andaman & Nicobar Islands
1985,1,1,11.5,93.5,8.110649,33.68775,322.41403,321.4153,Andaman & Nicobar Islands
1985,1,1,12.5,71.5,8.0958395,36.02529,352.35434,351.2672,Lakshadweep
