Day,Month,Year,Value
18,October,1992,-1.366068
26,October,1992,-1.495621
02,November,1992,-1.077333
09,November,1992,-1.099429
15,November,1992,-1.073329
22,November,1992,-1.082175
29,November,1992,-1.107599
07,December,1992,-0.997316
14,December,1992,-1.024861
21,December,1992,-0.798204
27,December,1992,-0.405218
04,January,1993,-0.339384
11,January,1993,0.036703
17,January,1993,0.044273
24,January,1993,-0.160355
31,January,1993,-0.420325
08,February,1993,-0.249804
15,February,1993,-0.097645
22,February,1993,-0.05301
28,February,1993,0.159496
07,March,1993,0.010349
15,March,1993,-0.067957
22,March,1993,-0.281234
29,March,1993,-0.488349
04,April,1993,-0.159791
11,April,1993,-0.29684
18,April,1993,-0.392282
26,April,1993,-0.384468
03,May,1993,0.17953
10,May,1993,-0.031193
16,May,1993,0.001377
23,May,1993,-0.114592
30,May,1993,-0.187855
07,June,1993,-0.020699
14,June,1993,-0.091309
21,June,1993,0.197739
27,June,1993,0.5137
04,July,1993,0.408351
12,July,1993,0.340804
19,July,1993,0.293133
26,July,1993,-0.229609
01,August,1993,-0.955782
08,August,1993,-0.780307
15,August,1993,-0.570527
23,August,1993,-0.302919
30,August,1993,-0.217401
06,September,1993,-0.33991
12,September,1993,-0.438579
19,September,1993,-0.2752
26,September,1993,-0.325404
04,October,1993,-0.328332
11,October,1993,-0.500353
17,October,1993,-0.582138
24,October,1993,-0.512395
31,October,1993,0.013033
08,November,1993,-0.131058
15,November,1993,-0.321234
22,November,1993,-0.622518
28,November,1993,-0.814387
05,December,1993,-0.822434
12,December,1993,-0.940592
20,December,1993,-1.080507
27,December,1993,-1.06722
03,January,1994,-1.320816
09,January,1994,-0.984414
16,January,1994,-0.649522
24,January,1994,-0.586403
31,January,1994,-0.381483
07,February,1994,-0.688898
13,February,1994,-0.654637
20,February,1994,-0.543128
27,February,1994,-0.602795
07,March,1994,-0.44364
14,March,1994,-0.387502
21,March,1994,-0.46983
27,March,1994,-0.715805
03,April,1994,-0.165192
10,April,1994,-0.239224
18,April,1994,-0.239991
25,April,1994,-0.134203
01,May,1994,0.49519
08,May,1994,0.614815
15,May,1994,0.755224
23,May,1994,0.771405
30,May,1994,0.912663
06,June,1994,1.136517
12,June,1994,1.163465
19,June,1994,0.982024
26,June,1994,0.903556
04,July,1994,0.599939
11,July,1994,0.864197
18,July,1994,1.219972
24,July,1994,1.598228
31,July,1994,1.2636
07,August,1994,1.193063
15,August,1994,1.205878
22,August,1994,1.442949
28,August,1994,1.629015
04,September,1994,1.584516
11,September,1994,1.60975
19,September,1994,1.576191
26,September,1994,1.436628
03,October,1994,1.400857
09,October,1994,1.417879
16,October,1994,1.498933
23,October,1994,1.516855
31,October,1994,1.613035
07,November,1994,2.147546
14,November,1994,2.011967
20,November,1994,1.741529
27,November,1994,1.256682
05,December,1994,1.027121
12,December,1994,0.942781
