Day,Month,Year,Value
18,October,1992,0.315273
26,October,1992,0.311238
02,November,1992,0.375543
09,November,1992,0.527112
15,November,1992,0.634374
22,November,1992,0.712957
29,November,1992,0.825858
07,December,1992,0.81292
14,December,1992,0.779847
21,December,1992,0.83352
27,December,1992,0.893282
04,January,1993,1.12037
11,January,1993,1.212844
17,January,1993,1.147867
24,January,1993,1.001203
31,January,1993,1.051898
08,February,1993,1.116722
15,February,1993,1.198372
22,February,1993,1.142579
28,February,1993,1.249196
07,March,1993,1.252224
15,March,1993,1.287072
22,March,1993,1.214319
29,March,1993,1.218677
04,April,1993,1.360798
11,April,1993,1.348408
18,April,1993,1.344525
26,April,1993,1.350604
03,May,1993,1.254911
10,May,1993,1.295032
16,May,1993,1.278204
23,May,1993,1.267318
30,May,1993,1.137079
07,June,1993,0.829772
14,June,1993,0.848558
21,June,1993,0.952185
27,June,1993,0.948873
04,July,1993,0.82218
12,July,1993,0.905691
19,July,1993,0.87815
26,July,1993,0.885558
01,August,1993,0.704231
08,August,1993,0.740849
15,August,1993,0.890643
23,August,1993,0.962823
30,August,1993,0.918779
06,September,1993,0.8592
12,September,1993,0.782404
19,September,1993,0.737446
26,September,1993,0.711197
04,October,1993,0.694754
11,October,1993,0.727656
17,October,1993,0.84742
24,October,1993,0.803855
31,October,1993,0.816131
08,November,1993,0.767603
15,November,1993,0.832051
22,November,1993,0.7606
28,November,1993,0.702237
05,December,1993,0.741061
12,December,1993,0.720192
20,December,1993,0.711463
27,December,1993,0.659694
03,January,1994,0.730112
09,January,1994,0.709512
16,January,1994,0.637372
24,January,1994,0.488951
31,January,1994,0.292896
07,February,1994,0.338479
13,February,1994,0.159673
20,February,1994,0.010953
27,February,1994,-0.064508
07,March,1994,0.072348
14,March,1994,0.066559
21,March,1994,-0.026117
27,March,1994,-0.027431
03,April,1994,0.141095
10,April,1994,0.199006
18,April,1994,0.230697
25,April,1994,0.284835
01,May,1994,0.237941
08,May,1994,0.231979
15,May,1994,0.382661
23,May,1994,0.488554
30,May,1994,0.550164
06,June,1994,0.381451
12,June,1994,0.362283
19,June,1994,0.435701
26,June,1994,0.565639
04,July,1994,0.36603
11,July,1994,0.430038
18,July,1994,0.552449
24,July,1994,0.674738
31,July,1994,0.622446
07,August,1994,0.702176
15,August,1994,0.765671
22,August,1994,0.87636
28,August,1994,0.939936
04,September,1994,0.85026
11,September,1994,0.930415
19,September,1994,1.088646
26,September,1994,1.055878
03,October,1994,1.067029
09,October,1994,1.114716
16,October,1994,1.099741
23,October,1994,1.076184
31,October,1994,1.073999
07,November,1994,1.155351
14,November,1994,1.349666
20,November,1994,1.424665
27,November,1994,1.374659
05,December,1994,1.283454
12,December,1994,1.330145
19,December,1994,1.470133
25,December,1994,1.657191
01,January,1995,1.815875
08,January,1995,1.701209
16,January,1995,1.641632
23,January,1995,1.490868
30,January,1995,1.328156
05,February,1995,1.392667
12,February,1995,1.265294
19,February,1995,1.100046
27,February,1995,0.953106
06,March,1995,0.918769
12,March,1995,0.804251
19,March,1995,0.763106
26,March,1995,0.659178
03,April,1995,0.594882
10,April,1995,0.53824
17,April,1995,0.541606
23,April,1995,0.507915
30,April,1995,0.524524
07,May,1995,0.506736
15,May,1995,0.423431
22,May,1995,0.54863
29,May,1995,0.628829
04,June,1995,0.404052
11,June,1995,0.416937
19,June,1995,0.407159
26,June,1995,0.298926
03,July,1995,0.1442
09,July,1995,0.101743
16,July,1995,0.009993
23,July,1995,0.129395
31,July,1995,0.082748
07,August,1995,-0.161094
14,August,1995,-0.219406
20,August,1995,-0.256092
27,August,1995,-0.313762
03,September,1995,-0.356463
11,September,1995,-0.312769
18,September,1995,-0.283618
24,September,1995,-0.318554
01,October,1995,-0.304721
08,October,1995,-0.325473
16,October,1995,-0.342252
23,October,1995,-0.451316
30,October,1995,-0.46287
05,November,1995,-0.425245
12,November,1995,-0.477987
19,November,1995,-0.503345
27,November,1995,-0.526941
11,December,1995,-0.628097
17,December,1995,-0.499069
24,December,1995,-0.473868
01,January,1996,-0.341416
08,January,1996,-0.31426
15,January,1996,-0.319752
21,January,1996,-0.314011
28,January,1996,-0.347453
04,February,1996,-0.266877
12,February,1996,-0.343498
19,February,1996,-0.321157
26,February,1996,-0.380461
03,March,1996,-0.229843
10,March,1996,-0.243974
17,March,1996,-0.221292
25,March,1996,-0.344643
01,April,1996,-0.279641
08,April,1996,-0.256389
14,April,1996,-0.312154
21,April,1996,-0.29261
28,April,1996,-0.270262
06,May,1996,-0.332187
13,May,1996,-0.234517
20,May,1996,-0.133904
26,May,1996,-0.024579
02,June,1996,-0.14498
09,June,1996,-0.182881
17,June,1996,-0.215055
24,June,1996,-0.144351
01,July,1996,-0.259293
07,July,1996,-0.284053
14,July,1996,-0.255717
21,July,1996,-0.300651
29,July,1996,-0.309585
05,August,1996,-0.375637
12,August,1996,-0.260935
18,August,1996,-0.288439
25,August,1996,-0.355341
01,September,1996,-0.488987
09,September,1996,-0.526478
16,September,1996,-0.530087
23,September,1996,-0.548741
29,September,1996,-0.451212
06,October,1996,-0.44401
13,October,1996,-0.513211
21,October,1996,-0.510703
28,October,1996,-0.630478
04,November,1996,-0.639939
10,November,1996,-0.604174
17,November,1996,-0.59403
24,November,1996,-0.602001
02,December,1996,-0.516546
09,December,1996,-0.521962
16,December,1996,-0.56699
22,December,1996,-0.415567
29,December,1996,-0.21561
05,January,1997,0.012337
12,January,1997,0.222854
20,January,1997,0.317303
27,January,1997,0.252722
03,February,1997,0.337932
09,February,1997,0.222071
16,February,1997,0.0726
23,February,1997,-0.004663
03,March,1997,0.292788
10,March,1997,0.475941
17,March,1997,0.678047
23,March,1997,0.79549
30,March,1997,0.911419
07,April,1997,1.087898
14,April,1997,1.14801
21,April,1997,1.238481
27,April,1997,1.341405
04,May,1997,1.403787
11,May,1997,1.500853
19,May,1997,1.58212
26,May,1997,1.640905
02,June,1997,1.552439
08,June,1997,1.705471
15,June,1997,1.744915
22,June,1997,1.868505
30,June,1997,2.053277
07,July,1997,1.908695
13,July,1997,1.930531
20,July,1997,2.02271
27,July,1997,2.114625
04,August,1997,2.151983
11,August,1997,2.342978
18,August,1997,2.497315
24,August,1997,2.600858
31,August,1997,2.677789
07,September,1997,2.76085
15,September,1997,2.90577
22,September,1997,2.957678
29,September,1997,3.029172
05,October,1997,3.105771
12,October,1997,3.198867
19,October,1997,3.220213
27,October,1997,3.230082
03,November,1997,3.40248
09,November,1997,3.378386
16,November,1997,3.40326
23,November,1997,3.31329
01,December,1997,3.272617
08,December,1997,3.274315
15,December,1997,3.282396
21,December,1997,3.147514
28,December,1997,2.993136
04,January,1998,2.928756
12,January,1998,2.818883
19,January,1998,2.695415
26,January,1998,2.62053
01,February,1998,2.6843
08,February,1998,2.518185
16,February,1998,2.228997
23,February,1998,2.023844
02,March,1998,2.02922
08,March,1998,1.865012
15,March,1998,1.784811
22,March,1998,1.656466
30,March,1998,1.52491
06,April,1998,1.46959
13,April,1998,1.296947
19,April,1998,1.212127
26,April,1998,1.151897
03,May,1998,1.022826
11,May,1998,0.853394
18,May,1998,0.67062
24,May,1998,0.539135
31,May,1998,0.228536
07,June,1998,0.137163
15,June,1998,0.081994
22,June,1998,0.090521
29,June,1998,0.017312
05,July,1998,-0.248079
12,July,1998,-0.283012
19,July,1998,-0.310649
27,July,1998,-0.282776
03,August,1998,-0.416656
10,August,1998,-0.421411
16,August,1998,-0.517894
23,August,1998,-0.584025
31,August,1998,-0.543559
07,September,1998,-0.556638
14,September,1998,-0.657549
20,September,1998,-0.731947
27,September,1998,-0.811835
04,October,1998,-0.831447
12,October,1998,-0.917527
19,October,1998,-0.944818
26,October,1998,-1.003802
01,November,1998,-1.032266
08,November,1998,-1.082707
15,November,1998,-1.1142
23,November,1998,-1.109572
30,November,1998,-1.099434
06,December,1998,-1.031182
13,December,1998,-1.048311
20,December,1998,-0.979749
28,December,1998,-0.988958
04,January,1999,-0.970943
11,January,1999,-1.048649
17,January,1999,-1.156854
24,January,1999,-1.219747
31,January,1999,-1.177727
08,February,1999,-1.300279
15,February,1999,-1.282581
22,February,1999,-1.213705
28,February,1999,-1.025131
07,March,1999,-1.020368
15,March,1999,-1.080191
22,March,1999,-1.133118
29,March,1999,-1.172053
04,April,1999,-1.068424
11,April,1999,-1.149063
18,April,1999,-1.160683
26,April,1999,-1.09324
03,May,1999,-1.073844
10,May,1999,-1.015568
16,May,1999,-0.921537
23,May,1999,-0.917227
30,May,1999,-0.856502
07,June,1999,-0.897753
14,June,1999,-0.832574
21,June,1999,-0.760649
27,June,1999,-0.676435
04,July,1999,-0.788863
12,July,1999,-0.796573
19,July,1999,-0.824054
26,July,1999,-0.780511
01,August,1999,-0.89152
08,August,1999,-0.858557
15,August,1999,-0.781743
23,August,1999,-0.758133
30,August,1999,-0.793344
06,September,1999,-0.891597
12,September,1999,-0.91217
19,September,1999,-0.858097
26,September,1999,-0.803522
04,October,1999,-0.862083
11,October,1999,-0.882562
17,October,1999,-0.985279
24,October,1999,-1.109208
31,October,1999,-1.108033
08,November,1999,-1.141852
15,November,1999,-1.125636
22,November,1999,-1.130354
28,November,1999,-1.176491
05,December,1999,-1.174878
12,December,1999,-1.225245
20,December,1999,-1.312096
27,December,1999,-1.327564
03,January,2000,-1.283025
10,January,2000,-1.329768
16,January,2000,-1.331679
23,January,2000,-1.346703
30,January,2000,-1.310134
07,February,2000,-1.146502
14,February,2000,-1.188071
21,February,2000,-1.341855
27,February,2000,-1.429711
05,March,2000,-1.294722
12,March,2000,-1.319508
20,March,2000,-1.325416
27,March,2000,-1.296792
03,April,2000,-1.125962
09,April,2000,-1.107338
16,April,2000,-1.226584
23,April,2000,-1.161262
01,May,2000,-1.207804
08,May,2000,-1.138659
15,May,2000,-1.055914
21,May,2000,-0.952752
28,May,2000,-0.885227
04,June,2000,-0.986759
12,June,2000,-0.934851
19,June,2000,-0.814472
26,June,2000,-0.771049
02,July,2000,-0.97762
09,July,2000,-0.895986
16,July,2000,-0.757519
24,July,2000,-0.591288
31,July,2000,-0.492071
07,August,2000,-0.641302
13,August,2000,-0.585788
20,August,2000,-0.619086
27,August,2000,-0.641309
04,September,2000,-0.49657
11,September,2000,-0.431467
18,September,2000,-0.476201
24,September,2000,-0.539192
01,October,2000,-0.576199
08,October,2000,-0.643037
16,October,2000,-0.664316
23,October,2000,-0.641974
30,October,2000,-0.62498
05,November,2000,-0.633099
12,November,2000,-0.691618
19,November,2000,-0.737565
27,November,2000,-0.823775
04,December,2000,-0.85218
11,December,2000,-0.85143
17,December,2000,-0.800565
24,December,2000,-0.771551
01,January,2001,-0.783379
08,January,2001,-0.797109
15,January,2001,-0.839187
21,January,2001,-0.869398
28,January,2001,-1.055082
04,February,2001,-1.090518
12,February,2001,-1.093352
19,February,2001,-1.084864
26,February,2001,-1.100123
04,March,2001,-0.795718
11,March,2001,-0.815132
18,March,2001,-0.802728
26,March,2001,-0.806135
02,April,2001,-0.674931
09,April,2001,-0.689241
15,April,2001,-0.721026
22,April,2001,-0.77041
30,April,2001,-0.744136
07,May,2001,-0.706647
14,May,2001,-0.63733
20,May,2001,-0.468387
27,May,2001,-0.411063
03,June,2001,-0.565831
11,June,2001,-0.486857
18,June,2001,-0.451
25,June,2001,-0.332262
01,July,2001,-0.44674
08,July,2001,-0.30912
15,July,2001,-0.178157
23,July,2001,-0.008542
30,July,2001,-0.067131
05,August,2001,-0.245817
12,August,2001,-0.260893
19,August,2001,-0.224464
27,August,2001,-0.146303
03,September,2001,-0.153181
10,September,2001,-0.133827
16,September,2001,-0.144071
23,September,2001,-0.200031
30,September,2001,-0.251228
08,October,2001,-0.265043
15,October,2001,-0.253236
22,October,2001,-0.22383
28,October,2001,-0.223571
04,November,2001,-0.159361
12,November,2001,-0.222026
19,November,2001,-0.301851
26,November,2001,-0.34691
02,December,2001,-0.29633
16,December,2001,0.116498
24,December,2001,0.2062
31,December,2001,0.359475
07,January,2002,0.449134
13,January,2002,0.471394
20,January,2002,0.421535
27,January,2002,0.341387
04,February,2002,0.40588
11,February,2002,0.302532
17,February,2002,0.264487
24,February,2002,0.238499
03,March,2002,0.419405
11,March,2002,0.327247
18,March,2002,0.262389
25,March,2002,0.215278
31,March,2002,0.230611
07,April,2002,0.216479
14,April,2002,0.19211
22,April,2002,0.185649
29,April,2002,0.1575
06,May,2002,0.059995
12,May,2002,0.08885
19,May,2002,0.149838
27,May,2002,0.297117
03,June,2002,0.240587
10,June,2002,0.229546
16,June,2002,0.193213
23,June,2002,0.179892
30,June,2002,0.033704
08,July,2002,0.197836
15,July,2002,0.394394
22,July,2002,0.610068
28,July,2002,0.733226
04,August,2002,0.650906
11,August,2002,0.726109
19,August,2002,0.852627
26,August,2002,0.918869
02,September,2002,1.030229
08,September,2002,1.144688
15,September,2002,1.309509
23,September,2002,1.375346
30,September,2002,1.406449
07,October,2002,1.542756
13,October,2002,1.707804
20,October,2002,1.860126
27,October,2002,1.884794
04,November,2002,1.936842
11,November,2002,1.836166
18,November,2002,1.72275
24,November,2002,1.703804
01,December,2002,1.634282
08,December,2002,1.709809
16,December,2002,1.723569
23,December,2002,1.606394
29,December,2002,1.438049
05,January,2003,1.338513
12,January,2003,1.264463
20,January,2003,1.163903
27,January,2003,1.171892
03,February,2003,1.163522
09,February,2003,1.07306
16,February,2003,1.007221
23,February,2003,0.870604
03,March,2003,0.925833
10,March,2003,0.860793
17,March,2003,0.689161
23,March,2003,0.526314
30,March,2003,0.398
07,April,2003,0.478941
14,April,2003,0.437646
21,April,2003,0.466736
27,April,2003,0.360894
04,May,2003,0.279227
11,May,2003,0.182236
19,May,2003,0.080337
26,May,2003,0.17292
02,June,2003,0.098465
08,June,2003,0.284512
15,June,2003,0.43091
22,June,2003,0.496612
30,June,2003,0.510263
07,July,2003,0.383146
13,July,2003,0.409082
20,July,2003,0.413686
27,July,2003,0.484937
04,August,2003,0.42954
11,August,2003,0.485847
18,August,2003,0.445263
24,August,2003,0.408909
31,August,2003,0.373947
07,September,2003,0.306558
15,September,2003,0.277986
22,September,2003,0.295972
29,September,2003,0.346617
05,October,2003,0.373785
12,October,2003,0.319653
19,October,2003,0.379984
27,October,2003,0.404753
03,November,2003,0.444932
09,November,2003,0.523566
16,November,2003,0.609033
01,December,2003,0.649454
08,December,2003,0.500239
15,December,2003,0.34614
21,December,2003,0.328976
28,December,2003,0.365821
05,January,2004,0.558582
11,January,2004,0.720198
18,January,2004,0.803595
25,January,2004,0.676843
02,February,2004,0.609995
09,February,2004,0.438524
16,February,2004,0.442473
22,February,2004,0.349096
29,February,2004,0.465208
07,March,2004,0.411055
15,March,2004,0.252206
22,March,2004,0.185288
29,March,2004,0.125141
04,April,2004,0.342899
11,April,2004,0.465876
18,April,2004,0.463691
26,April,2004,0.510797
03,May,2004,0.404339
10,May,2004,0.386427
16,May,2004,0.378078
23,May,2004,0.399269
30,May,2004,0.362416
07,June,2004,0.225061
14,June,2004,0.288973
21,June,2004,0.41037
27,June,2004,0.565906
04,July,2004,0.453335
11,July,2004,0.583139
19,July,2004,0.781209
26,July,2004,0.772589
02,August,2004,0.644696
08,August,2004,0.601839
15,August,2004,0.628026
22,August,2004,0.676482
30,August,2004,0.790168
06,September,2004,0.815233
13,September,2004,0.847812
19,September,2004,0.825955
26,September,2004,0.666319
03,October,2004,0.600757
11,October,2004,0.608933
18,October,2004,0.685676
25,October,2004,0.73076
31,October,2004,0.851368
07,November,2004,0.82388
15,November,2004,0.746451
22,November,2004,0.73279
29,November,2004,0.680483
05,December,2004,0.722439
12,December,2004,0.790235
19,December,2004,0.784231
27,December,2004,0.806681
03,January,2005,0.875124
09,January,2005,0.810535
16,January,2005,0.754712
24,January,2005,0.665666
31,January,2005,0.598922
07,February,2005,0.760699
13,February,2005,0.931182
20,February,2005,0.972301
27,February,2005,0.879824
07,March,2005,1.070179
14,March,2005,1.070594
21,March,2005,0.949991
27,March,2005,0.816936
03,April,2005,0.714103
10,April,2005,0.627149
18,April,2005,0.646286
25,April,2005,0.673009
01,May,2005,0.59303
08,May,2005,0.475938
15,May,2005,0.326469
23,May,2005,0.390199
30,May,2005,0.385267
06,June,2005,0.235055
12,June,2005,0.29349
19,June,2005,0.245091
26,June,2005,0.236842
04,July,2005,0.090628
11,July,2005,0.079717
18,July,2005,0.034972
24,July,2005,0.12627
31,July,2005,-0.036984
07,August,2005,-0.043987
15,August,2005,0.097929
22,August,2005,0.208704
28,August,2005,0.195801
04,September,2005,0.076971
11,September,2005,-0.020365
19,September,2005,-0.071047
03,October,2005,-0.008539
09,October,2005,0.027772
16,October,2005,-0.031372
23,October,2005,-0.002459
31,October,2005,-0.181192
07,November,2005,-0.23619
14,November,2005,-0.243615
20,November,2005,-0.283997
27,November,2005,-0.357485
05,December,2005,-0.40219
12,December,2005,-0.389937
19,December,2005,-0.472129
25,December,2005,-0.502054
01,January,2006,-0.44408
08,January,2006,-0.516323
16,January,2006,-0.73886
23,January,2006,-0.849578
30,January,2006,-0.927269
05,February,2006,-0.781166
12,February,2006,-0.793364
19,February,2006,-0.831533
27,February,2006,-0.920184
06,March,2006,-0.831242
12,March,2006,-0.802177
19,March,2006,-0.744398
26,March,2006,-0.731882
03,April,2006,-0.592814
10,April,2006,-0.61006
17,April,2006,-0.652011
23,April,2006,-0.613484
30,April,2006,-0.642032
07,May,2006,-0.499313
15,May,2006,-0.33794
