Decimal Year,Value
1992.7978142,0.315273
1992.8169399,0.311238
1992.8360656,0.375543
1992.8551913,0.527112
1992.8743169,0.634374
1992.8934426,0.712957
1992.9125683,0.825858
1992.931694,0.81292
1992.9508197,0.779847
1992.9699454,0.83352
1992.989071,0.893282
1993.0082192,1.12037
1993.0273973,1.212844
1993.0465753,1.147867
1993.0657534,1.001203
1993.0849315,1.051898
1993.1041096,1.116722
1993.1232877,1.198372
1993.1424658,1.142579
1993.1616438,1.249196
1993.1808219,1.252224
1993.2,1.287072
1993.2191781,1.214319
1993.2383562,1.218677
1993.2575342,1.360798
1993.2767123,1.348408
1993.2958904,1.344525
1993.3150685,1.350604
1993.3342466,1.254911
1993.3534247,1.295032
1993.3726027,1.278204
1993.3917808,1.267318
1993.4109589,1.137079
1993.430137,0.829772
1993.4493151,0.848558
1993.4684932,0.952185
1993.4876712,0.948873
1993.5068493,0.82218
1993.5260274,0.905691
1993.5452055,0.87815
1993.5643836,0.885558
1993.5835616,0.704231
1993.6027397,0.740849
1993.6219178,0.890643
1993.6410959,0.962823
1993.660274,0.918779
1993.6794521,0.8592
1993.6986301,0.782404
1993.7178082,0.737446
1993.7369863,0.711197
1993.7561644,0.694754
1993.7753425,0.727656
1993.7945205,0.84742
1993.8136986,0.803855
1993.8328767,0.816131
1993.8520548,0.767603
1993.8712329,0.832051
1993.890411,0.7606
1993.909589,0.702237
1993.9287671,0.741061
1993.9479452,0.720192
1993.9671233,0.711463
1993.9863014,0.659694
1994.0054795,0.730112
1994.0246575,0.709512
1994.0438356,0.637372
1994.0630137,0.488951
1994.0821918,0.292896
1994.1013699,0.338479
1994.1205479,0.159673
1994.139726,0.010953
1994.1589041,-0.064508
1994.1780822,0.072348
1994.1972603,0.066559
1994.2164384,-0.026117
1994.2356164,-0.027431
1994.2547945,0.141095
1994.2739726,0.199006
1994.2931507,0.230697
1994.3123288,0.284835
1994.3315068,0.237941
1994.3506849,0.231979
1994.369863,0.382661
1994.3890411,0.488554
1994.4082192,0.550164
1994.4273973,0.381451
1994.4465753,0.362283
1994.4657534,0.435701
1994.4849315,0.565639
1994.5041096,0.36603
1994.5232877,0.430038
1994.5424658,0.552449
1994.5616438,0.674738
1994.5808219,0.622446
1994.6,0.702176
1994.6191781,0.765671
1994.6383562,0.87636
1994.6575342,0.939936
1994.6767123,0.85026
1994.6958904,0.930415
1994.7150685,1.088646
1994.7342466,1.055878
1994.7534247,1.067029
1994.7726027,1.114716
1994.7917808,1.099741
1994.8109589,1.076184
1994.830137,1.073999
1994.8493151,1.155351
1994.8684932,1.349666
1994.8876712,1.424665
1994.9068493,1.374659
1994.9260274,1.283454
1994.9452055,1.330145
1994.9643836,1.470133
1994.9835616,1.657191
1995.0027397,1.815875
1995.0219178,1.701209
1995.0410959,1.641632
1995.060274,1.490868
1995.0794521,1.328156
1995.0986301,1.392667
1995.1178082,1.265294
1995.1369863,1.100046
1995.1561644,0.953106
1995.1753425,0.918769
1995.1945205,0.804251
1995.2136986,0.763106
1995.2328767,0.659178
1995.2520548,0.594882
1995.2712329,0.53824
1995.290411,0.541606
1995.309589,0.507915
1995.3287671,0.524524
1995.3479452,0.506736
1995.3671233,0.423431
1995.3863014,0.54863
1995.4054795,0.628829
1995.4246575,0.404052
1995.4438356,0.416937
1995.4630137,0.407159
1995.4821918,0.298926
1995.5013699,0.1442
1995.5205479,0.101743
1995.539726,0.009993
1995.5589041,0.129395
1995.5780822,0.082748
1995.5972603,-0.161094
1995.6164384,-0.219406
1995.6356164,-0.256092
1995.6547945,-0.313762
1995.6739726,-0.356463
1995.6931507,-0.312769
1995.7123288,-0.283618
1995.7315068,-0.318554
1995.7506849,-0.304721
1995.769863,-0.325473
1995.7890411,-0.342252
1995.8082192,-0.451316
1995.8273973,-0.46287
1995.8465753,-0.425245
1995.8657534,-0.477987
1995.8849315,-0.503345
1995.9041096,-0.526941
1995.9424658,-0.628097
1995.9616438,-0.499069
1995.9808219,-0.473868
1996.0,-0.341416
1996.0191257,-0.31426
1996.0382514,-0.319752
1996.057377,-0.314011
1996.0765027,-0.347453
1996.0956284,-0.266877
1996.1147541,-0.343498
1996.1338798,-0.321157
1996.1530055,-0.380461
1996.1721311,-0.229843
1996.1912568,-0.243974
1996.2103825,-0.221292
1996.2295082,-0.344643
1996.2486339,-0.279641
1996.2677596,-0.256389
1996.2868852,-0.312154
1996.3060109,-0.29261
1996.3251366,-0.270262
1996.3442623,-0.332187
1996.363388,-0.234517
1996.3825137,-0.133904
1996.4016393,-0.024579
1996.420765,-0.14498
1996.4398907,-0.182881
1996.4590164,-0.215055
1996.4781421,-0.144351
1996.4972678,-0.259293
1996.5163934,-0.284053
1996.5355191,-0.255717
1996.5546448,-0.300651
1996.5737705,-0.309585
1996.5928962,-0.375637
1996.6120219,-0.260935
1996.6311475,-0.288439
1996.6502732,-0.355341
1996.6693989,-0.488987
1996.6885246,-0.526478
1996.7076503,-0.530087
1996.726776,-0.548741
1996.7459016,-0.451212
1996.7650273,-0.44401
1996.784153,-0.513211
1996.8032787,-0.510703
1996.8224044,-0.630478
1996.8415301,-0.639939
1996.8606557,-0.604174
1996.8797814,-0.59403
1996.8989071,-0.602001
1996.9180328,-0.516546
1996.9371585,-0.521962
1996.9562842,-0.56699
1996.9754098,-0.415567
1996.9945355,-0.21561
1997.0136986,0.012337
1997.0328767,0.222854
1997.0520548,0.317303
1997.0712329,0.252722
1997.090411,0.337932
1997.109589,0.222071
1997.1287671,0.0726
1997.1479452,-0.004663
1997.1671233,0.292788
1997.1863014,0.475941
1997.2054795,0.678047
1997.2246575,0.79549
1997.2438356,0.911419
1997.2630137,1.087898
1997.2821918,1.14801
1997.3013699,1.238481
1997.3205479,1.341405
1997.339726,1.403787
1997.3589041,1.500853
1997.3780822,1.58212
1997.3972603,1.640905
1997.4164384,1.552439
1997.4356164,1.705471
1997.4547945,1.744915
1997.4739726,1.868505
1997.4931507,2.053277
1997.5123288,1.908695
1997.5315068,1.930531
1997.5506849,2.02271
1997.569863,2.114625
1997.5890411,2.151983
1997.6082192,2.342978
1997.6273973,2.497315
1997.6465753,2.600858
1997.6657534,2.677789
1997.6849315,2.76085
1997.7041096,2.90577
1997.7232877,2.957678
1997.7424658,3.029172
1997.7616438,3.105771
1997.7808219,3.198867
1997.8,3.220213
1997.8191781,3.230082
1997.8383562,3.40248
1997.8575342,3.378386
1997.8767123,3.40326
1997.8958904,3.31329
1997.9150685,3.272617
1997.9342466,3.274315
1997.9534247,3.282396
1997.9726027,3.147514
1997.9917808,2.993136
1998.0109589,2.928756
1998.030137,2.818883
1998.0493151,2.695415
1998.0684932,2.62053
1998.0876712,2.6843
1998.1068493,2.518185
1998.1260274,2.228997
1998.1452055,2.023844
1998.1643836,2.02922
1998.1835616,1.865012
1998.2027397,1.784811
1998.2219178,1.656466
1998.2410959,1.52491
1998.260274,1.46959
1998.2794521,1.296947
1998.2986301,1.212127
1998.3178082,1.151897
1998.3369863,1.022826
1998.3561644,0.853394
1998.3753425,0.67062
1998.3945205,0.539135
1998.4136986,0.228536
1998.4328767,0.137163
1998.4520548,0.081994
1998.4712329,0.090521
1998.490411,0.017312
1998.509589,-0.248079
1998.5287671,-0.283012
1998.5479452,-0.310649
1998.5671233,-0.282776
1998.5863014,-0.416656
1998.6054795,-0.421411
1998.6246575,-0.517894
1998.6438356,-0.584025
1998.6630137,-0.543559
1998.6821918,-0.556638
1998.7013699,-0.657549
1998.7205479,-0.731947
1998.739726,-0.811835
1998.7589041,-0.831447
1998.7780822,-0.917527
1998.7972603,-0.944818
1998.8164384,-1.003802
1998.8356164,-1.032266
1998.8547945,-1.082707
1998.8739726,-1.1142
1998.8931507,-1.109572
1998.9123288,-1.099434
1998.9315068,-1.031182
1998.9506849,-1.048311
1998.969863,-0.979749
1998.9890411,-0.988958
1999.0082192,-0.970943
1999.0273973,-1.048649
1999.0465753,-1.156854
1999.0657534,-1.219747
1999.0849315,-1.177727
1999.1041096,-1.300279
1999.1232877,-1.282581
1999.1424658,-1.213705
1999.1616438,-1.025131
1999.1808219,-1.020368
1999.2,-1.080191
1999.2191781,-1.133118
1999.2383562,-1.172053
1999.2575342,-1.068424
