Decimal Year,Value
1992.7978142,-1.366068
1992.8169399,-1.495621
1992.8360656,-1.077333
1992.8551913,-1.099429
1992.8743169,-1.073329
1992.8934426,-1.082175
1992.9125683,-1.107599
1992.931694,-0.997316
1992.9508197,-1.024861
1992.9699454,-0.798204
1992.989071,-0.405218
1993.0082192,-0.339384
1993.0273973,0.036703
1993.0465753,0.044273
1993.0657534,-0.160355
1993.0849315,-0.420325
1993.1041096,-0.249804
1993.1232877,-0.097645
1993.1424658,-0.05301
1993.1616438,0.159496
1993.1808219,0.010349
1993.2,-0.067957
1993.2191781,-0.281234
1993.2383562,-0.488349
1993.2575342,-0.159791
1993.2767123,-0.29684
1993.2958904,-0.392282
1993.3150685,-0.384468
1993.3342466,0.17953
1993.3534247,-0.031193
1993.3726027,0.001377
1993.3917808,-0.114592
1993.4109589,-0.187855
1993.430137,-0.020699
1993.4493151,-0.091309
1993.4684932,0.197739
1993.4876712,0.5137
1993.5068493,0.408351
1993.5260274,0.340804
1993.5452055,0.293133
1993.5643836,-0.229609
1993.5835616,-0.955782
1993.6027397,-0.780307
1993.6219178,-0.570527
1993.6410959,-0.302919
1993.660274,-0.217401
1993.6794521,-0.33991
1993.6986301,-0.438579
1993.7178082,-0.2752
1993.7369863,-0.325404
1993.7561644,-0.328332
1993.7753425,-0.500353
1993.7945205,-0.582138
1993.8136986,-0.512395
1993.8328767,0.013033
1993.8520548,-0.131058
1993.8712329,-0.321234
1993.890411,-0.622518
1993.909589,-0.814387
1993.9287671,-0.822434
1993.9479452,-0.940592
1993.9671233,-1.080507
1993.9863014,-1.06722
1994.0054795,-1.320816
1994.0246575,-0.984414
1994.0438356,-0.649522
1994.0630137,-0.586403
1994.0821918,-0.381483
1994.1013699,-0.688898
1994.1205479,-0.654637
1994.139726,-0.543128
1994.1589041,-0.602795
1994.1780822,-0.44364
1994.1972603,-0.387502
1994.2164384,-0.46983
1994.2356164,-0.715805
1994.2547945,-0.165192
1994.2739726,-0.239224
1994.2931507,-0.239991
1994.3123288,-0.134203
1994.3315068,0.49519
1994.3506849,0.614815
1994.369863,0.755224
1994.3890411,0.771405
1994.4082192,0.912663
1994.4273973,1.136517
1994.4465753,1.163465
1994.4657534,0.982024
1994.4849315,0.903556
1994.5041096,0.599939
1994.5232877,0.864197
1994.5424658,1.219972
1994.5616438,1.598228
1994.5808219,1.2636
1994.6,1.193063
1994.6191781,1.205878
1994.6383562,1.442949
1994.6575342,1.629015
1994.6767123,1.584516
1994.6958904,1.60975
1994.7150685,1.576191
1994.7342466,1.436628
1994.7534247,1.400857
1994.7726027,1.417879
1994.7917808,1.498933
1994.8109589,1.516855
1994.830137,1.613035
1994.8493151,2.147546
1994.8684932,2.011967
1994.8876712,1.741529
1994.9068493,1.256682
1994.9260274,1.027121
1994.9452055,0.942781
1994.9643836,1.08617
1994.9835616,1.391611
1995.0027397,1.40864
1995.0219178,1.362309
1995.0410959,1.348216
1995.060274,1.074708
1995.0794521,0.663657
