Year,Month,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,DHW_from_90th_HS>1,Salinity,pH_total,fCO2,IOD,ENSO,Bleaching,Acanthastrea,Acropora,Alveopora,Astreopora,Cantharellus,Caryophyllia,Coeloseris mayeri,Coscinaraea,Coscinaria,Cyphastrea,Dendrophyllia,Diploastrea,Diploastrea heliopora,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Gardineroseris planulata,Goniastrea,Goniopora,Heliopora,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lobophyllia,Merulina,Montipora,Mycedium,Oulastrea crispata,Oulophyllia,Pachyseris,Pachyseris rugosa,Pavona,Pavona clavus,Pectinia,Platygyra,Plesiastrea,Pocillopora,Podabacia,Podobacia,Porites,Psammocora,Pseudosiderastrea,Seriatopora,Siderastrea,Stylophora,Symphyllia,Turbinaria,Reef_Andaman & Nicobar Islands,Reef_Gulf of Kachchh,Reef_Gulf of Mannar,Reef_Lakshadweep
1997,1,25.84,27.97,27.506129032258062,-0.1143064516129032,0.0,32.69885775,8.090811,337.889160625,-0.839704,0.2013039999999999,0.0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1997,1,19.55,24.16,23.115806451612904,-0.4777838709677419,0.0,36.41402,8.062024,390.11514,-0.839704,0.2013039999999999,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
1997,1,25.8,27.86,27.261612903225807,-0.1535838709677419,0.0,33.580544,8.077757,342.99323,-0.839704,0.2013039999999999,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0
1997,1,27.29,28.72,28.25032258064516,0.1485258064516129,0.0,34.97936766666667,8.082114895833334,359.6364529166667,-0.839704,0.2013039999999999,0.0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1
1997,2,25.54,27.73,27.32821428571429,-0.4619785714285714,0.0,32.778389375,8.093888312499999,337.500289375,-1.13003525,0.156985,0.0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1997,2,19.67,23.74,22.892142857142854,-0.8360535714285715,0.0,36.33193,8.065048,386.8081,-1.13003525,0.156985,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
1997,2,25.9,28.36,27.517142857142854,-0.2229571428571428,0.0,33.70213,8.084003,342.52118,-1.13003525,0.156985,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0
1997,2,27.17,28.52,28.088214285714287,-0.2263785714285714,0.0,34.681197250000004,8.083565333333334,356.4286545833333,-1.13003525,0.156985,0.0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1
1997,3,25.92,29.57,28.483870967741936,-0.279541935483871,0.0,32.8279540625,8.084170625,346.547554375,-0.9050376,0.630737,0.0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1997,3,21.47,25.45,24.483548387096775,-0.1406483870967741,0.0,36.283707,8.073111,377.17474,-0.9050376,0.630737,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
