Acanthastrea,Acrhelia,Acropora,Alveopora,Anacropora,Astrea,Astreopora,Australomussa,Barabattoia,Blastomussa,Bleaching,Cantharellus,Caryophyllia,Catalaphyllia,Caulastrea,Coelastrea,Coeloseris,Coeloseris mayeri,Coscinaraea,Coscinaria,Ctenactis,Culicia,Cycloseris,Cyphastrea,DHW_from_90th_HS>1,Dendrophyllia,Diaseris,Diploastrea,Diploastrea heliopora,Dipsastraea,Distichopora,ENSO,Echinophyllia,Echinopora,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Gardineroseris planulata,Goniastrea,Goniastrea favulus,Goniastrea pectinata,Goniastrea retiformis,Goniopora,Heliofungia,Heliopora,Herpolitha,Heteropsammia,Hydnophora,IOD,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Merulina,Micromussa,Millepora,Montastrea,Month,Montigyra,Montipora,Moselaya,Mycedium,Oulastrea crispata,Oulophyllia,Oxypora,Pachyseris,Pachyseris rugosa,Palauastrea,Pavona,Pavona clavus,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleurogyra,Pocillopora,Podabacia,Podobacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Reef_Andaman & Nicobar Islands,Reef_Ashmore Reef north-west Australia,Reef_Christmas Island Indian Ocean,Reef_Cocos Keeling Atolls Indian Ocean,Reef_Gulf of Kachchh,Reef_Gulf of Mannar,Reef_Houtman Abrolhos Islands west Australia,Reef_Kimberley Coast north-west Australia,Reef_Lakshadweep,Reef_Ningaloo Reef and coastal north-west Australia,Reef_Rowley Shoals west Australia,Reef_Scott Reef west Australia,Rhizopsammia,SST@90th_HS,SSTA@90th_HS,SST_MAX,SST_MIN,Salinity,Sandalolitha,Scapophyllia,Seriatopora,Siderastrea,Stylaster,Stylocoeniella,Stylophora,Symphyllia,Trachyphyllia,Tubastrea,Tubipora,Turbinaria,Year,fCO2,pH_total
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,0.0,1,0,1,1,1,0,0.2013039999999999,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,-0.839704,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27.506129032258062,-0.1143064516129032,27.97,25.84,32.69885775,0,0,1,1,0,0,1,1,0,0,0,1,1997,337.889160625,8.090811
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0.2013039999999999,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.839704,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23.115806451612904,-0.4777838709677419,24.16,19.55,36.41402,0,0,0,1,0,0,0,1,0,0,0,1,1997,390.11514,8.062024
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,0.2013039999999999,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.839704,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,27.261612903225807,-0.1535838709677419,27.86,25.8,33.580544,0,0,1,0,0,0,1,1,0,0,0,1,1997,342.99323,8.077757
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1,0,0,0,1,0,0.2013039999999999,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.839704,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.25032258064516,0.1485258064516129,28.72,27.29,34.97936766666667,0,0,1,0,0,0,1,1,0,0,0,0,1997,359.6364529166667,8.082114895833334
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,0.0,1,0,1,1,1,0,0.156985,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,-1.13003525,1,1,1,1,0,0,1,1,0,0,0,2,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27.32821428571429,-0.4619785714285714,27.73,25.54,32.778389375,0,0,1,1,0,0,1,1,0,0,0,1,1997,337.500289375,8.093888312499999
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0.156985,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1.13003525,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22.89214285714285,-0.8360535714285715,23.74,19.67,36.33193,0,0,0,1,0,0,0,1,0,0,0,1,1997,386.8081,8.065048
0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,0.156985,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-1.13003525,0,1,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,27.51714285714285,-0.2229571428571428,28.36,25.9,33.70213,0,0,1,0,0,0,1,1,0,0,0,1,1997,342.52118,8.084003
1,0,1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,1,0,0,0,1,0,0.156985,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-1.13003525,0,1,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.088214285714287,-0.2263785714285714,28.52,27.17,34.681197250000004,0,0,1,0,0,0,1,1,0,0,0,0,1997,356.4286545833333,8.083565333333334
0,0,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1,0.0,1,0,1,1,1,0,0.630737,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,-0.9050376,1,1,1,1,0,0,1,1,0,0,0,3,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28.483870967741936,-0.279541935483871,29.57,25.92,32.8279540625,0,0,1,1,0,0,1,1,0,0,0,1,1997,346.547554375,8.084170625
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0.630737,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.9050376,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24.48354838709677,-0.1406483870967741,25.45,21.47,36.283707,0,0,0,1,0,0,0,1,0,0,0,1,1997,377.17474,8.073111
